point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
1589,1.0,0.0,35.09023975711194,11.411058203844192,35.09023975711194,11.411058203844192,3,0.0,0.0,101.88143827761927,342.3846769643905,16.59415403192709,0.42908496732026147,0.46972787775363556,0.5302721222463646,0.5479983603762458,40.381963538159084,0.08511489502090154,85.28728424569219,57.091503267973856,0.8383375293927621,0.0,108.89948622904166,656.5532151491685,31.534148860925892,0.5273856209150328,0.3532153013028158,0.6467846986971842,0.29231635682728335,40.32075714151327,0.11203456105764781,77.36533736811577,47.26143790849673,0.8140807650750362,0.0
1590,1.0,0.0,47.60165649716714,20.11479716346279,47.60165649716714,20.11479716346279,3,0.0,0.0,88.53020253175737,363.23913503414974,17.49684937386608,0.6373202614379084,0.3245969217835808,0.6754030782164193,0.42428078014371184,40.434437845914736,0.1683901222452329,71.03335315789128,36.26797385620915,0.7924682130435059,0.0,98.0505338311908,659.4643753928522,31.62896332184482,0.6916339869281045,0.24618551334005268,0.7538144866599472,0.25576784191411867,39.14829625983632,0.19350009057355874,66.42157050934598,30.83660130718954,0.783335031105249,0.0
1591,0.0,0.6666666666666666,403.2759998448234,317.62612579889463,,,3,,0.0,36.39157965754203,122.8319082062037,5.911067235714735,0.7964052287581699,0.1585176279713443,0.174815705361989,0.18567905402755358,16.188061243771703,0.028597425727675943,30.480512421827296,20.359477124183005,0.7788885625312622,0.0,117.04677962650673,714.3506805501274,34.14398599945482,0.494640522875817,0.3546640948549453,0.6453359051450547,0.29265177025083977,48.186986910090326,0.1161529150924507,82.90279362705192,50.535947712418306,0.8216260185752017,0.0
1592,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,2.129704472135922e-70,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7432109490177826,0.0,0.0,3.2265824222997717e-69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7432109490177826,0.0
1593,1.0,0.0,45.29881356064567,9.6700036300112,45.29881356064567,9.6700036300112,3,0.0,0.0,103.75460661358876,348.41694354329735,16.90297946037605,0.4183660130718955,0.4716624529957101,0.5283375470042899,0.5514825371417921,40.34440186862502,0.09598120239507979,86.8516271532127,58.16339869281046,0.841444233990536,0.0,112.81436932571789,680.2562796569506,32.97186256709839,0.5105228758169935,0.35479224818109184,0.6452077518189081,0.294310609539917,40.630721993567185,0.12381231522081243,79.84250675861949,48.94771241830065,0.8177742099587081,0.0
1594,1.0,0.0,50.023835855148995,14.801321324560737,50.023835855148995,14.801321324560737,3,0.0,0.0,103.39549126185454,350.06967472734874,16.834188673920632,0.4228758169934641,0.46892446642293373,0.5310755335770662,0.5451059909063476,40.42796332922961,0.09720028647583068,86.56130258793392,57.71241830065359,0.8401729095290605,0.0,113.40025843288436,683.6630187596535,33.09253266468338,0.5079084967320261,0.3551335180432383,0.6448664819567617,0.2946914451166591,40.86789498629448,0.12258282898462493,80.30772576820095,49.209150326797385,0.8184689320268662,0.0
1595,1.0,0.0,37.23572913441876,2.040287828778533,37.23572913441876,2.040287828778533,3,0.0,0.0,104.727051051528,352.3902887097086,17.14931284424271,0.4133333333333334,0.47211673072252247,0.5278832692774775,0.5520208011490318,40.62210026094042,0.09427246700441239,87.57773820728528,58.666666666666664,0.8429540197772858,0.0,112.17419687841173,674.8250353748839,32.65254948984104,0.5128758169934641,0.35489538157036266,0.6451046184296373,0.29464811762593485,40.46369875522424,0.12481287572606126,79.52164738857071,48.7124183006536,0.8173273542164806,0.0
1596,1.0,0.0,23.138136443912618,8.671684481283336,23.138136443912618,8.671684481283336,3,0.0,0.0,104.99583102207843,335.5379952206191,16.34657186348252,0.39718954248366006,0.48668097879881306,0.513319021201187,0.5862190360360771,40.30194631050622,0.08998653643214177,88.64925915859591,60.28104575163399,0.8478058696234245,0.0,109.62345831086094,624.5790839824301,30.03552235970331,0.5133333333333334,0.36277512524137684,0.6372248747586232,0.31083971428774865,40.55977981614901,0.12481045881263512,79.58793595115763,48.666666666666664,0.8172410716147777,0.0
1597,1.0,0.0,40.273080414938306,9.587292059926094,40.273080414938306,9.587292059926094,3,0.0,0.0,80.2017542548367,271.10536829230324,13.145183186720145,0.551437908496732,0.45227303034487454,0.5477269696551256,0.5166237133226496,31.370410158282382,0.1576990178507238,67.05657106811655,44.8562091503268,0.8089511975130961,0.0,88.25637033782436,529.1659386782918,25.523335583919707,0.6159477124183007,0.34647837591889546,0.6535216240811046,0.2847659227149852,31.36232525324637,0.18535671348948105,62.733034753904654,38.40522875816993,0.7963912739487453,0.0
1598,0.0,1.0,458.02855958605505,7.625853336510115,,,3,,0.0,0.0,4.2757916974152637e-69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.799840143352739,0.0,91.60571191721105,329.7383050813534,26.980680907055813,0.5890849673202614,0.37575973975980875,0.6242402602401912,0.6145977458850974,36.901888262080384,0.15411490040540662,64.62503101015524,41.091503267973856,0.8378174317096306,0.0
