c0,eta,lambda_e,sigma,rho,frac_seeds_collapsed,frac_seeds_U1,mean_U,Y
2.0,0.1,1.0,0.4,0.4,0.0,0.0,0.3241470588235294,127.80168372446676
2.0,0.1,1.0,0.4,0.45,0.0,0.0,0.3092549019607843,133.32120621159217
2.0,0.1,1.0,0.4,0.5,0.0,0.0,0.019813725490196096,179.22788778435532
2.0,0.1,1.0,0.4,0.55,0.0,0.0,0.010009803921568635,181.7594386162631
2.0,0.1,1.0,0.4,0.6,0.0,0.0,0.0,188.43420158977716
2.0,0.1,1.0,0.4,0.65,0.0,0.0,0.0,196.79704438268044
2.0,0.1,1.0,0.5,0.35,0.0,0.0,0.15969607843137257,137.31508601777116
2.0,0.1,1.0,0.5,0.4,0.0,0.0,0.22942156862745094,139.0690531665893
2.0,0.1,1.0,0.5,0.45,0.0,0.0,0.3314019607843137,130.29051310669288
2.0,0.1,1.0,0.5,0.5,0.0,0.0,0.020264705882352956,179.97992964971948
2.0,0.1,1.0,0.5,0.55,0.0,0.0,0.010058823529411775,182.59019751235445
2.0,0.1,1.0,0.5,0.6,0.0,0.0,0.0,192.48518791495138
2.0,0.1,1.0,0.5,0.65,0.0,0.0,0.0,201.31364036153312
2.0,0.1,1.0,0.6,0.35,0.05,0.05,0.1875686274509804,130.22454954652127
2.0,0.1,1.0,0.6,0.4,0.0,0.0,0.13926470588235296,142.48487576249713
2.0,0.1,1.0,0.6,0.45,0.0,0.0,0.35847058823529415,125.69499449480861
2.0,0.1,1.0,0.6,0.5,0.0,0.0,0.02083333333333335,180.30525716471107
2.0,0.1,1.0,0.6,0.55,0.0,0.0,0.009980392156862753,183.45074930396873
2.0,0.1,1.0,0.6,0.6,0.0,0.0,0.0,194.98368520240967
2.0,0.1,1.0,0.6,0.65,0.0,0.0,0.0,206.34943732231267
2.0,0.1,1.0,0.7,0.35,0.05,0.05,0.21575490196078434,121.41266551330621
2.0,0.1,1.0,0.7,0.4,0.0,0.0,0.1896078431372549,126.52612330135037
2.0,0.1,1.0,0.7,0.45,0.0,0.0,0.2594607843137255,120.16229306746793
2.0,0.1,1.0,0.7,0.5,0.0,0.0,0.251843137254902,118.73309469178096
2.0,0.1,1.0,0.7,0.55,0.0,0.0,0.03447058823529413,177.515367508981
2.0,0.1,1.0,0.7,0.6,0.0,0.0,0.0,199.5191737126586
2.0,0.1,1.0,0.7,0.65,0.0,0.0,0.358,143.2018579977353
2.0,0.1,1.0,0.8,0.35,0.5,0.5,0.5976764705882353,60.392265389031685
2.0,0.1,1.0,0.8,0.4,0.0,0.0,0.21736274509803924,117.41344820440432
2.0,0.1,1.0,0.8,0.45,0.0,0.0,0.2577549019607843,112.18641358219368
2.0,0.1,1.0,0.8,0.5,0.0,0.0,0.2851372549019608,107.81697965529717
2.0,0.1,1.0,0.8,0.55,0.0,0.0,0.20075490196078433,134.28315332983505
2.0,0.1,1.0,0.8,0.6,0.0,0.0,0.0,204.94891830869074
2.0,0.1,1.0,0.8,0.65,0.0,0.0,0.44022549019607843,128.66512814548815
2.0,0.1,1.0,0.9,0.35,1.0,1.0,1.0,0.0
2.0,0.1,1.0,0.9,0.4,0.0,0.0,0.2701372549019608,105.49835458456432
2.0,0.1,1.0,0.9,0.45,0.0,0.0,0.3231764705882353,104.37407239834127
2.0,0.1,1.0,0.9,0.5,0.0,0.0,0.39869607843137256,105.51373109440752
2.0,0.1,1.0,0.9,0.55,0.0,0.0,0.3871764705882353,98.42324584014652
2.0,0.1,1.0,0.9,0.6,0.0,0.0,0.4455882352941177,123.81979680314528
2.0,0.1,1.0,0.9,0.65,0.0,0.0,0.4538333333333333,126.5919100214679
2.0,0.1,1.0,1.0,0.35,1.0,1.0,1.0,0.0
2.0,0.1,1.0,1.0,0.4,0.05,0.05,0.29577450980392156,97.78516530288138
2.0,0.1,1.0,1.0,0.45,0.0,0.0,0.3691372549019608,97.4839014648185
2.0,0.1,1.0,1.0,0.5,0.0,0.0,0.3840588235294118,95.63851578491416
2.0,0.1,1.0,1.0,0.55,0.0,0.0,0.4466176470588235,91.41813920145852
2.0,0.1,1.0,1.0,0.6,0.0,0.0,0.4514607843137255,122.68527898632426
2.0,0.1,1.0,1.0,0.65,0.0,0.0,0.4658039215686275,124.66476376092696
2.0,0.1,1.0,1.25,0.35,1.0,1.0,1.0,2.093733105281683e-41
2.0,0.1,1.0,1.25,0.4,0.9,0.9,0.9643725490196079,4.379790062322716
2.0,0.1,1.0,1.25,0.45,0.05,0.05,0.3831666666666667,76.21864856222325
2.0,0.1,1.0,1.25,0.5,0.0,0.0,0.3759705882352941,78.70258820693797
2.0,0.1,1.0,1.25,0.55,0.0,0.0,0.4009117647058823,79.20108338647478
2.0,0.1,1.0,1.25,0.6,0.0,0.0,0.4516960784313725,120.43102283501575
2.0,0.1,1.0,1.25,0.65,0.0,0.0,0.48072549019607846,120.48159527679711
2.0,0.1,1.0,1.5,0.35,1.0,1.0,1.0,4.3150751736438536e-42
2.0,0.1,1.0,1.5,0.4,1.0,1.0,1.0,1.832259676571705e-41
2.0,0.1,1.0,1.5,0.45,1.0,1.0,1.0,1.5749402399415351e-40
2.0,0.1,1.0,1.5,0.5,0.95,0.95,0.9710392156862746,4.6786251127274365
2.0,0.1,1.0,1.5,0.55,0.05,0.05,0.41382352941176476,116.69367688948398
2.0,0.1,1.0,1.5,0.6,0.0,0.0,0.43128431372549014,120.77413918274813
2.0,0.1,1.0,1.5,0.65,0.0,0.0,0.4689117647058823,119.63814328374693
2.0,0.15,0.25,0.05,0.35,0.15,0.15,0.5905,73.42710266068441
2.0,0.15,0.25,0.05,0.4,0.0,0.0,0.4423725490196079,101.32542729262002
2.0,0.15,0.25,0.05,0.45,0.0,0.0,0.1970490196078431,146.1474667739761
2.0,0.15,0.25,0.05,0.5,0.0,0.0,0.06700000000000003,168.53048283693715
2.0,0.15,0.25,0.05,0.55,0.0,0.0,0.040000000000000036,173.0496979657101
2.0,0.15,0.25,0.05,0.6,0.0,0.0,0.03518627450980395,174.17590422009414
2.0,0.15,0.25,0.05,0.65,0.0,0.0,0.0378137254901961,173.847545442341
2.0,0.15,0.25,0.3,0.35,0.0,0.0,0.25401960784313726,132.6281130830677
2.0,0.15,0.25,0.3,0.4,0.0,0.0,0.32059803921568625,127.92797812833479
2.0,0.15,0.25,0.3,0.45,0.0,0.0,0.23538235294117643,142.40140875455444
2.0,0.15,0.25,0.3,0.5,0.0,0.0,0.08575490196078434,165.10195813760066
2.0,0.15,0.25,0.3,0.55,0.0,0.0,0.10269607843137256,162.5951408181897
2.0,0.15,0.25,0.3,0.6,0.0,0.0,0.10800000000000001,163.59310569682864
2.0,0.15,0.25,0.3,0.65,0.0,0.0,0.06737254901960785,174.93130274197955
2.0,0.15,0.25,0.4,0.35,0.0,0.0,0.1816470588235294,136.76181079691145
2.0,0.15,0.25,0.4,0.4,0.0,0.0,0.13831372549019605,150.90394629631936
2.0,0.15,0.25,0.4,0.45,0.0,0.0,0.09826470588235296,160.53770436313442
2.0,0.15,0.25,0.4,0.5,0.0,0.0,0.09849019607843139,162.47908783105925
2.0,0.15,0.25,0.4,0.55,0.0,0.0,0.09575490196078433,165.92562784920912
2.0,0.15,0.25,0.4,0.6,0.0,0.0,0.09647058823529411,169.44448874569363
2.0,0.15,0.25,0.4,0.65,0.0,0.0,0.06595098039215687,179.5985670617876
2.0,0.15,0.25,0.5,0.35,0.0,0.0,0.19507843137254902,131.18086907586
2.0,0.15,0.25,0.5,0.4,0.0,0.0,0.12124509803921568,149.69081217583616
2.0,0.15,0.25,0.5,0.45,0.0,0.0,0.09787254901960783,158.4428666973119
2.0,0.15,0.25,0.5,0.5,0.0,0.0,0.21245098039215687,147.73113393692643
2.0,0.15,0.25,0.5,0.55,0.0,0.0,0.22446078431372554,150.60177802488957
2.0,0.15,0.25,0.5,0.6,0.0,0.0,0.08372549019607843,175.06498696097174
2.0,0.15,0.25,0.5,0.65,0.0,0.0,0.06134313725490196,184.7070975992908
2.0,0.15,0.25,0.6,0.35,0.05,0.05,0.25295098039215685,117.5881896930733
2.0,0.15,0.25,0.6,0.4,0.0,0.0,0.20912745098039215,127.46114958950798
2.0,0.15,0.25,0.6,0.45,0.0,0.0,0.14477450980392156,145.4329186531391
2.0,0.15,0.25,0.6,0.5,0.0,0.0,0.3766274509803922,125.81131345258545
2.0,0.15,0.25,0.6,0.55,0.0,0.0,0.4180294117647059,123.64466679987497
2.0,0.15,0.25,0.6,0.6,0.0,0.0,0.3311862745098039,140.42501829650237
2.0,0.15,0.25,0.6,0.65,0.0,0.0,0.05845098039215686,189.7335540348893
2.0,0.15,0.25,0.7,0.35,0.2,0.2,0.40779411764705886,89.64645562547244
2.0,0.15,0.25,0.7,0.4,0.0,0.0,0.2580980392156863,112.98122615025231
2.0,0.15,0.25,0.7,0.45,0.0,0.0,0.2578627450980392,113.91863930390502
2.0,0.15,0.25,0.7,0.5,0.0,0.0,0.4020882352941177,119.50847319853524
2.0,0.15,0.25,0.7,0.55,0.0,0.0,0.4345392156862745,121.32247505722698
2.0,0.15,0.25,0.7,0.6,0.0,0.0,0.42903921568627457,126.37522065928798
2.0,0.15,0.25,0.7,0.65,0.0,0.0,0.12840196078431373,181.4775565094473
2.0,0.15,0.25,0.8,0.35,0.9,0.9,0.9290686274509804,10.275378112642034
2.0,0.15,0.25,0.8,0.4,0.0,0.0,0.267921568627451,108.85730293188644
2.0,0.15,0.25,0.8,0.45,0.0,0.0,0.2999705882352941,101.19297172398069
2.0,0.15,0.25,0.8,0.5,0.0,0.0,0.31779411764705884,97.59435895266242
2.0,0.15,0.25,0.8,0.55,0.0,0.0,0.3427058823529412,95.04146789867794
2.0,0.15,0.25,0.8,0.6,0.0,0.0,0.3541960784313726,92.96400918840023
2.0,0.15,0.25,0.8,0.65,0.0,0.0,0.36464705882352944,91.24205060787015
2.0,0.15,0.25,0.9,0.35,1.0,1.0,1.0,0.0
2.0,0.15,0.25,0.9,0.4,0.05,0.05,0.3582941176470588,90.5915036451691
2.0,0.15,0.25,0.9,0.45,0.0,0.0,0.337,92.44526522357987
2.0,0.15,0.25,0.9,0.5,0.0,0.0,0.3573627450980392,90.72933850919685
2.0,0.15,0.25,0.9,0.55,0.0,0.0,0.37678431372549015,87.45265583951007
