c0,eta,lambda_e,sigma,rho,Y,U,Wage_Rate,Wage_Floor_Binding,collapsed,floored,binding,frac_seeds_collapsed,mixed_basin
1.0,0.0,0.5,0.05,0.35,54.90551091994981,0.6933333333333334,0.9,0.0,False,False,capital,0.3333333333333333,True
1.0,0.0,0.5,0.05,0.4,84.77255751452076,0.5333333333333334,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.05,0.45,98.61025342054204,0.4583006535947713,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.05,0.5,100.74468761686121,0.4466666666666667,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.05,0.55,101.96256901309964,0.44,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.05,0.6,114.10296436323874,0.37333333333333335,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.05,0.65,120.17257535777425,0.3399999999999999,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.3,0.35,90.24502238361504,0.4877777777777778,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.3,0.4,87.18647414207106,0.5339869281045752,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.3,0.45,89.44983590148865,0.5366666666666667,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.3,0.5,91.89177079228222,0.5327450980392158,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.3,0.55,93.84921377056541,0.5288235294117648,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.3,0.6,96.87613878014417,0.5187581699346405,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.3,0.65,103.55763625483166,0.48999999999999994,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.4,0.35,92.13034468901311,0.473921568627451,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.4,0.4,86.63796744309825,0.5371895424836602,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.4,0.45,88.79811487378772,0.5439215686274511,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.4,0.5,88.80065211977445,0.5549673202614379,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.4,0.55,91.8554705771899,0.5490196078431372,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.4,0.6,94.09217714973174,0.5450326797385622,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.4,0.65,96.14528419359893,0.5409150326797386,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.5,0.35,92.39105429641387,0.4775816993464052,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.5,0.4,89.04703644557141,0.5197385620915033,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.5,0.45,88.51864048350917,0.5456209150326798,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.5,0.5,88.13036254289733,0.5624183006535949,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.5,0.55,87.78343301754263,0.574640522875817,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.5,0.6,92.67782814261155,0.5618300653594772,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.5,0.65,93.49526118208321,0.5648366013071896,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.6,0.35,93.52379601146168,0.4607189542483659,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.6,0.4,89.33963806890307,0.5178431372549018,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.6,0.45,88.27886339234412,0.5485620915032681,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.6,0.5,88.293476887927,0.5642483660130719,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.6,0.55,88.37874332473184,0.5754248366013073,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.6,0.6,92.32903219340703,0.5700000000000002,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.6,0.65,92.3147235359806,0.5798039215686275,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.7,0.35,94.38244977749754,0.4458823529411764,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.7,0.4,89.65957725354617,0.5098692810457517,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.7,0.45,88.33653704284762,0.5436601307189542,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.7,0.5,88.5392033151586,0.5591503267973857,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.7,0.55,88.44754964759413,0.5798692810457516,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.7,0.6,92.0682256995866,0.5782352941176471,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.7,0.65,92.43342408681485,0.5871895424836602,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.8,0.35,94.8244607236104,0.4306535947712418,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.8,0.4,89.92974591178275,0.5051633986928105,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.8,0.45,86.94967580102168,0.549607843137255,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.8,0.5,86.81864430203035,0.5713725490196079,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.8,0.55,88.68271451671994,0.5786928104575164,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.8,0.6,90.38259458341149,0.5867973856209151,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.8,0.65,91.38268768687438,0.5950980392156864,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.9,0.35,96.30447984581252,0.41143790849673206,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.9,0.4,89.60403887221752,0.49823529411764705,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.9,0.45,88.28289728209573,0.5330065359477125,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.9,0.5,87.55499575654825,0.5681699346405229,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.9,0.55,86.74418711132626,0.5870588235294117,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.9,0.6,86.99369238625667,0.6050980392156862,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,0.9,0.65,89.39330037430062,0.6062091503267973,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.0,0.35,96.50263358900929,0.40457516339869287,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.0,0.4,87.16774102237099,0.5071895424836602,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.0,0.45,87.6625698470008,0.5351633986928105,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.0,0.5,86.22214271423638,0.5673856209150326,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.0,0.55,87.70301051651991,0.5810457516339871,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.0,0.6,86.25942707744457,0.6023529411764706,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.0,0.65,88.55495547381598,0.6073856209150327,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.25,0.35,100.27349738129415,0.35555555555555557,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.25,0.4,92.65636571548788,0.4470588235294118,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.25,0.45,90.64086036623416,0.4926143790849673,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.25,0.5,87.83559342183229,0.5441176470588235,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.25,0.55,86.34690169015126,0.5788235294117646,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.25,0.6,86.88242776017121,0.594967320261438,0.9,0.0,False,False,demand,0.0,False
1.0,0.0,0.5,1.25,0.65,85.36021013822288,0.625032679738562,0.9,0.0,False,False,demand,0.0,False
