c0,eta,rr,sigma,rho,frac_seeds_collapsed,frac_seeds_U1,mean_U,Y,mean_tax,frac_periods_at_cap
2.0,0.1,0.5,1.25,0.6,0.0,0.0,0.38700980392156864,82.32147671327078,0.2617878509089654,0.242156862745098
2.0,0.1,0.5,1.25,0.65,0.0,0.0,0.3769411764705882,144.7085094927942,0.1552116424974998,0.0
2.0,0.1,0.5,1.5,0.35,1.0,1.0,1.0,8.746407866834755e-43,0.6000000000000001,1.0
2.0,0.1,0.5,1.5,0.4,1.0,1.0,1.0,1.7351112268337518e-42,0.6000000000000001,1.0
2.0,0.1,0.5,1.5,0.45,1.0,1.0,1.0,4.284882691654925e-42,0.6000000000000001,1.0
2.0,0.1,0.5,1.5,0.5,1.0,1.0,1.0,1.5197194968874145e-41,0.6000000000000001,1.0
2.0,0.1,0.5,1.5,0.55,1.0,1.0,1.0,1.6154757934908709e-40,0.6000000000000001,1.0
2.0,0.1,0.5,1.5,0.6,0.7,0.7,0.8417352941176471,26.148641481141574,0.5123578014664616,0.7
2.0,0.1,0.5,1.5,0.65,0.05,0.05,0.4141666666666667,128.8065588538666,0.18815833062707807,0.05
2.0,0.15,0.0,0.05,0.35,0.15,0.15,0.5905,73.4294069730595,0.0,0.0
2.0,0.15,0.0,0.05,0.4,0.0,0.0,0.4565196078431373,98.75049443100085,0.0,0.0
2.0,0.15,0.0,0.05,0.45,0.0,0.0,0.1768235294117647,149.81515206958204,0.0,0.0
2.0,0.15,0.0,0.05,0.5,0.0,0.0,0.050470588235294156,171.43146068608613,0.0,0.0
2.0,0.15,0.0,0.05,0.55,0.0,0.0,0.0410588235294118,173.12376692056372,0.0,0.0
2.0,0.15,0.0,0.05,0.6,0.0,0.0,0.03661764705882356,173.93862810341324,0.0,0.0
2.0,0.15,0.0,0.05,0.65,0.0,0.0,0.03454901960784316,174.74353156641814,0.0,0.0
2.0,0.15,0.0,0.3,0.35,0.0,0.0,0.2566666666666667,132.44580901634612,0.0,0.0
2.0,0.15,0.0,0.3,0.4,0.0,0.0,0.2493235294117647,138.01015294063552,0.0,0.0
2.0,0.15,0.0,0.3,0.45,0.0,0.0,0.12645098039215688,156.99611486390197,0.0,0.0
2.0,0.15,0.0,0.3,0.5,0.0,0.0,0.11503921568627451,156.6786318469821,0.0,0.0
2.0,0.15,0.0,0.3,0.55,0.0,0.0,0.15599019607843137,147.68431205527997,0.0,0.0
2.0,0.15,0.0,0.3,0.6,0.0,0.0,0.16894117647058823,145.17420522275947,0.0,0.0
2.0,0.15,0.0,0.3,0.65,0.0,0.0,0.10409803921568628,162.82645889271274,0.0,0.0
2.0,0.15,0.0,0.4,0.35,0.0,0.0,0.18189215686274512,137.01758182305784,0.0,0.0
2.0,0.15,0.0,0.4,0.4,0.0,0.0,0.12259803921568624,152.62978100416524,0.0,0.0
2.0,0.15,0.0,0.4,0.45,0.0,0.0,0.09245098039215686,160.20082554698655,0.0,0.0
2.0,0.15,0.0,0.4,0.5,0.0,0.0,0.1105686274509804,159.38719607038618,0.0,0.0
2.0,0.15,0.0,0.4,0.55,0.0,0.0,0.14448039215686276,152.1780348147456,0.0,0.0
2.0,0.15,0.0,0.4,0.6,0.0,0.0,0.20170588235294118,136.82122172258087,0.0,0.0
2.0,0.15,0.0,0.4,0.65,0.0,0.0,0.19020588235294117,141.25765613828622,0.0,0.0
2.0,0.15,0.0,0.5,0.35,0.0,0.0,0.1968333333333333,130.41459962364863,0.0,0.0
2.0,0.15,0.0,0.5,0.4,0.0,0.0,0.13512745098039214,145.42474066169524,0.0,0.0
2.0,0.15,0.0,0.5,0.45,0.0,0.0,0.16369607843137254,146.60280559925658,0.0,0.0
2.0,0.15,0.0,0.5,0.5,0.0,0.0,0.38696078431372555,125.2497657349755,0.0,0.0
2.0,0.15,0.0,0.5,0.55,0.0,0.0,0.32810784313725494,134.4084749924499,0.0,0.0
2.0,0.15,0.0,0.5,0.6,0.0,0.0,0.19295098039215688,140.3388132081543,0.0,0.0
2.0,0.15,0.0,0.5,0.65,0.0,0.0,0.2669117647058824,119.1077478811756,0.0,0.0
2.0,0.15,0.0,0.6,0.35,0.0,0.0,0.22828431372549018,121.5728937940947,0.0,0.0
2.0,0.15,0.0,0.6,0.4,0.0,0.0,0.2090686274509804,126.1946717457502,0.0,0.0
2.0,0.15,0.0,0.6,0.45,0.0,0.0,0.21974509803921566,125.46106326677648,0.0,0.0
2.0,0.15,0.0,0.6,0.5,0.0,0.0,0.3402058823529412,119.74946020157002,0.0,0.0
2.0,0.15,0.0,0.6,0.55,0.0,0.0,0.3214019607843137,117.27104096845724,0.0,0.0
2.0,0.15,0.0,0.6,0.6,0.0,0.0,0.280156862745098,112.75394669233586,0.0,0.0
2.0,0.15,0.0,0.6,0.65,0.0,0.0,0.3042254901960784,106.13167456426649,0.0,0.0
2.0,0.15,0.0,0.7,0.35,0.15,0.15,0.38411764705882356,92.74447759534034,0.0,0.0
2.0,0.15,0.0,0.7,0.4,0.0,0.0,0.25057843137254904,113.93594066191827,0.0,0.0
2.0,0.15,0.0,0.7,0.45,0.0,0.0,0.27985294117647064,108.28138595820299,0.0,0.0
2.0,0.15,0.0,0.7,0.5,0.0,0.0,0.29538235294117643,105.23587047463295,0.0,0.0
2.0,0.15,0.0,0.7,0.55,0.0,0.0,0.31433333333333335,101.27803023059978,0.0,0.0
2.0,0.15,0.0,0.7,0.6,0.0,0.0,0.3215882352941176,99.29616386563012,0.0,0.0
2.0,0.15,0.0,0.7,0.65,0.0,0.0,0.3373627450980392,96.13994071559081,0.0,0.0
2.0,0.15,0.0,0.8,0.35,0.8,0.8,0.8715098039215686,18.29875017914899,0.0,0.0
2.0,0.15,0.0,0.8,0.4,0.0,0.0,0.27815686274509804,105.13981813335143,0.0,0.0
2.0,0.15,0.0,0.8,0.45,0.0,0.0,0.2986470588235294,101.13792716768975,0.0,0.0
2.0,0.15,0.0,0.8,0.5,0.0,0.0,0.3232745098039216,96.57023424369245,0.0,0.0
2.0,0.15,0.0,0.8,0.55,0.0,0.0,0.3373529411764706,93.27401554790603,0.0,0.0
2.0,0.15,0.0,0.8,0.6,0.0,0.0,0.35416666666666663,91.93445991514255,0.0,0.0
2.0,0.15,0.0,0.8,0.65,0.0,0.0,0.4162941176470588,91.72046605763231,0.0,0.0
2.0,0.15,0.0,0.9,0.35,0.85,0.85,0.8960588235294118,14.504502768262256,0.0,0.0
2.0,0.15,0.0,0.9,0.4,0.05,0.05,0.3326176470588235,93.86574962694101,0.0,0.0
2.0,0.15,0.0,0.9,0.45,0.0,0.0,0.3209705882352941,93.87113926780793,0.0,0.0
2.0,0.15,0.0,0.9,0.5,0.0,0.0,0.34502941176470586,89.33727938533241,0.0,0.0
2.0,0.15,0.0,0.9,0.55,0.0,0.0,0.35121568627450983,87.63823327349755,0.0,0.0
2.0,0.15,0.0,0.9,0.6,0.0,0.0,0.3931862745098039,86.02847314543553,0.0,0.0
