point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi,sigma,draw
197,1.0,0.0,171.70140685541625,18.40921234077794,171.70140685541625,18.40921234077794,3,0.0,0.0,184.71435251976467,184.71435251976467,0.0,1.0,0.8463182053462065,0.0,-247.89543865278372,263.33274121003285,4,131.51934390666153,304.2436086355452,14.699030562706872,0.1696732026143791,0.5978044952280069,0.40219550477199295,0.9647255545758023,53.48685940074006,0.054227531449754916,116.82031334395465,83.0326797385621,0.9531870756938744,0.0,168.46221441061445,1081.6517025956466,51.85552202633087,0.3758823529411765,0.32381868352739646,0.6761813164726034,0.3138634996446595,70.83343114329269,0.09945263057830284,116.60669238428358,62.411764705882355,0.8740906026969567,0.0,0.8,5
198,0.0,1.0,679.4765651513743,85.70564581973493,,,3,,0.0,661.3276049996579,,,0.0,-0.11132612640928219,0.0,555.7398381960436,836.8489698090823,4,0.0,6.172736535373524e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,132.2655209999316,406.73107194695535,25.351533603336225,0.25790849673202615,0.534936198524084,0.4650638014759159,0.7142376977158756,50.24625624835149,0.10100760469016982,106.91398739659537,74.20915032679738,0.9614375972752812,0.0,0.8,6
199,0.0,1.0,576.1230525359273,24.03105937929174,,,3,,0.0,804.7089594212438,,,0.0,0.6039632405576572,1.0,-2770.801724944101,1084.3647442087997,4,0.0,1.1291074309822708e-51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,160.94179188424877,623.5363732021859,38.97505938827243,0.2309150326797386,0.4660797901008343,0.5339202098991657,0.6138257999558845,59.17490273094694,0.0672762775499915,121.96673249597636,76.90849673202614,0.9710412587087965,0.0,0.8,7
200,0.0,1.0,454.1276225483859,6.159949061861359,,,3,,0.0,681.6190434624649,,,0.0,0.5776791964605196,1.0,-2923.0968086746757,1449.3803543904082,4,0.0,4.297420794004352e-51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,136.32380869249303,635.6593684460486,39.74765923604733,0.41614379084967323,0.37124982569372134,0.6287501743062787,0.4279525085935183,54.20026787032302,0.13181626148794015,96.57614945644569,58.38562091503268,0.8669855121752595,0.0,0.8,8
201,0.0,1.0,689.3594978915244,86.93719551350763,,,3,,0.0,676.2820153022814,,,0.0,-0.15246881705748005,0.0,528.2700719709015,888.8263909644571,4,0.0,6.15827970540481e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,135.25640306045628,491.5390105962728,30.61673580585258,0.31581699346405223,0.46388805056694143,0.5361119494330585,0.5764325120591072,53.563603550048676,0.10504263613511484,104.63966725460374,68.41830065359478,0.9119123924695308,0.0,0.8,9
202,0.0,1.0,699.616290517453,105.207707280768,,,3,,0.0,759.0316523207248,,,0.0,-4.357209713754628,0.0,72.01833272056689,1489.6057665877245,4,0.0,6.7769467513943e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,151.80633046414496,487.19995010651854,30.50462440463109,0.18575163398692807,0.5399287778418745,0.4600712221581254,0.7509062501956251,54.325812629216465,0.06524784179855139,121.30170605951389,81.42483660130719,1.0052172758536597,0.0,0.8,10
203,0.0,1.0,704.0995856923222,90.45787940649788,,,3,,0.0,777.3685781841797,,,0.0,227.417700782571,0.0,-1.5514426227307387,1634.8753473795364,4,0.0,6.171737299624286e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,155.473715636836,671.0835163229941,41.84829427367942,0.30823529411764705,0.3965326521318812,0.6034673478681188,0.4471965993434715,62.71784405070948,0.08648791013773137,113.62542136315658,69.17647058823529,0.8894100779468731,0.0,0.8,11
204,0.0,1.0,726.5743215623411,69.79331392127942,,,3,,0.0,896.0184693230116,,,0.0,1.0736816739841146,0.0,-633.2556490052212,2372.8836495122882,4,0.0,9.335716478492689e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,179.2036938646024,824.0898497222655,51.439516107194144,0.22784313725490193,0.39205367520221435,0.6079463247977857,0.46008297294959416,70.49368767631383,0.057231873705243796,127.76417775740823,77.2156862745098,0.9099169948867664,0.0,0.8,12
205,0.0,1.0,704.0995856923222,90.45787940649788,,,3,,0.0,777.3685781841797,,,0.0,227.417700782571,0.0,-1.5514426227307387,1634.8753473795364,4,0.0,6.171737299624286e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,155.473715636836,671.0835163229941,41.84829427367942,0.30823529411764705,0.3965326521318812,0.6034673478681188,0.4471965993434715,62.71784405070948,0.08648791013773137,113.62542136315658,69.17647058823529,0.8894100779468731,0.0,0.8,13
206,0.0,1.0,722.753539878758,16.469204497121435,,,3,,0.0,667.3154076887363,,,0.0,0.2704344427599939,0.0,1574.1767810647502,2280.331969837455,4,0.0,6.171737299624286e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,133.46308153774729,414.8956449876384,25.84053413615678,0.25333333333333335,0.5343925823745445,0.4656074176254555,0.710283436589072,50.359841326501964,0.09853165524453372,107.62254740159051,74.66666666666667,0.9620719934727892,0.0,0.8,14
207,0.0,1.0,764.5586384915035,77.72536121861224,,,3,,0.0,684.8923345907656,,,0.0,0.28825467083235823,0.0,1805.3730901573738,2255.5442439587623,4,0.0,3.1973103007475633e-52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8082132356214394,0.0,136.97846691815315,412.89700899459496,25.665391737876053,0.2257516339869281,0.5348536370504738,0.4651463629495261,0.6624633843885205,52.46435970194282,0.07598937960411085,111.31307518027711,77.42483660130718,0.9410058191572611,0.0,0.8,15
208,1.0,0.0,78.91706607662117,4.241266693406232,78.91706607662117,4.241266693406232,3,0.0,0.0,55.93235199430591,55.93235199430591,0.0,1.0,0.3421184890082008,0.0,249.92497722135104,44.895407027393,4,113.74975381860224,379.6366662952268,18.209387697415508,0.35888888888888887,0.49119022906364745,0.5088097709363527,0.6052869666019182,37.22801736344093,0.154056232258707,95.54036612118675,64.1111111111111,0.8715649114742158,0.0,124.93622421746345,746.1442381878734,35.8502673091056,0.4503921568627451,0.3747263873821056,0.6252736126178944,0.32761684570944444,37.0961112839093,0.20261979789446805,89.08595690835784,54.96078431372549,0.8518625742466953,0.0,0.8,16
209,1.0,0.0,-2.250411647633579,3.374810899751919,-2.250411647633579,3.374810899751919,3,1.0,1.0,-2.0955737019124374,-2.0955737019124374,1.0,1.0,0.7769950297177138,0.0,4.062187776358992,12.545609726503246,4,64.024186974144,211.95461460812518,8.269921725687595,0.6314379084967321,0.47141144175191557,0.5285885582480844,0.5588602340175904,25.831064417414,0.15240597587730184,55.7542652484564,36.8562091503268,0.8190720596456744,0.0,63.60507223376151,289.64268922977016,11.624956681580029,0.6809150326797385,0.40734462351691,0.5926553764830901,0.4031001222871385,25.514808526506815,0.17517023812969443,51.980115552181495,31.90849673202614,0.8125021394927378,0.0,0.8,17
210,1.0,0.0,-2.280036007123082,9.828836938796726,-2.280036007123082,9.828836938796726,3,1.0,1.0,-2.5606610084968646,-2.5606610084968646,1.0,1.0,0.6668889633935527,0.0,6.830996971815166,8.999607790483248,4,64.50806838154477,213.9904096955006,8.308062620911846,0.628954248366013,0.4795375526110903,0.5204624473889098,0.5719933817325389,25.620278740726665,0.15341478850138793,56.20000576063294,37.10457516339869,0.8340323954797997,0.0,63.995936179845415,299.22717949893223,11.57516400541,0.6824836601307189,0.41067095433364065,0.5893290456663594,0.4023110007873205,25.54943508922543,0.1775976764002858,52.4207721744354,31.751633986928102,0.828258922282771,0.0,0.8,18
211,1.0,0.0,-2.8512379959735292,5.058017329354875,-2.8512379959735292,5.058017329354875,3,1.0,1.0,-9.607859437472845,-9.607859437472845,1.0,1.0,0.5212043742329571,1.0,67.23230699220863,0.7466396954669343,4,61.26522092274204,203.17816425412693,7.925241453195998,0.6475816993464052,0.4697675620756048,0.5302324379243952,0.555973263516604,25.89845258829233,0.12117227135805841,53.33997946954603,35.24183006535947,0.8168241098003918,0.0,59.34364903524747,273.5411801000266,10.592144381906252,0.7037908496732027,0.40371663032234545,0.5962833696776545,0.39504490637105727,25.388983489679294,0.14332987663178862,48.751504653341215,29.620915032679743,0.8096809024047026,0.0,0.8,19
