sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Tax_Rate,Tax_At_Cap,Dead_Firms,TopK_Share,scenario,spread,c0,eta,benefit_replacement_rate
1.0,0.4,11,133.48599121612952,424.36823679515373,21.172199941263834,112.31379127486566,75.33333333333333,0.24666666666666667,0.507908982659166,0.6666666666666666,0.49209101734083405,0.5075437546599134,0.9043532635361275,0.175505976736347,0.175505976736347,161.9002000116178,161.9002000116178,0.5774113966442186,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.33256932493548,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,12,133.37780197882228,424.3561598336547,21.217807991548067,112.1599939872742,75.0,0.25,0.5060812144041604,0.6666666666666666,0.4939187855958396,0.5113655701636878,0.9059387006936543,0.17616535305565545,0.17616535305565545,161.8987529518564,161.8987529518564,0.577578444938144,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.33201162465944106,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,13,133.51335274098238,415.96967994658854,20.925120261055483,112.58823247992689,76.19607843137256,0.2380392156862745,0.5135945151398518,0.6666666666666666,0.48640548486014823,0.4997487139152936,0.908217124628669,0.16982882905057145,0.16982882905057145,160.82401144381427,160.82401144381427,0.5894245621013081,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.36187632289477284,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,14,132.25877019609888,425.5568752583546,21.045950482131573,111.21281971396733,74.0,0.26,0.5035621798249889,0.6666666666666666,0.4964378201750111,0.5196546143552977,0.9073488207203888,0.1838400150558244,0.1838400150558244,162.05005430527746,162.05005430527746,0.5705266025290682,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.34249275013167674,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,15,131.1757867661021,410.60429475426315,20.56724814549195,110.60853862061016,74.37254901960785,0.2562745098039216,0.5102162383072416,0.6666666666666666,0.48978376169275845,0.5134342691827051,0.9069707553544114,0.18082546219534462,0.18082546219534462,160.13005357849562,160.13005357849562,0.5874337901887704,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.34190580339155724,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,16,132.8848054943186,422.0644751486257,21.06143503820427,111.82337045611433,74.72549019607843,0.2527450980392157,0.5060848808651799,0.6666666666666666,0.4939151191348201,0.5146204583049047,0.9108660839068418,0.17772785645687214,0.17772785645687214,161.60655094203744,161.60655094203744,0.5791544133494164,0.0,0.9099999999999998,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.35421014656242145,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,17,133.39834050559608,425.0445363863198,21.108254131987895,112.29008637360818,75.11764705882354,0.24882352941176467,0.5066367248486738,0.6666666666666666,0.4933632751513262,0.5132262247772479,0.9164187981982801,0.17651709925583922,0.17651709925583922,161.98345431856336,161.98345431856336,0.5762078240392035,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.38782223223445916,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,18,132.01943503225485,419.36645857511695,20.959051391800404,111.06038364045443,73.76470588235294,0.2623529411764706,0.5027850312001677,0.6666666666666666,0.49721496879983235,0.5243861980847355,0.9154815354344324,0.18133921393538963,0.18133921393538963,161.26060727398115,161.26060727398115,0.5805576732629896,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3763942900905427,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,19,133.3953424972737,423.6331808999133,21.19211479822791,112.2032276990458,75.07843137254902,0.24921568627450982,0.5065291656796389,0.6666666666666666,0.4934708343203611,0.5112268482762254,0.9081005402833523,0.17558922818660946,0.17558922818660946,161.8067105961573,161.8067105961573,0.5785918335363146,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3427640158160945,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,0,136.28521160435787,425.7770625976249,21.371519890628434,114.91369171372943,78.2156862745098,0.21784313725490193,0.5164813032172181,0.6666666666666666,0.4835186967827818,0.48676522011710255,0.9110807904103535,0.15914497751426648,0.15914497751426648,162.07888714351637,162.07888714351637,0.6035378747934041,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.36517963101604195,S1_anchor,0.1,2.0,0.0,0.0
