point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
164,1.0,0.0,211.35516629392416,85.40573754420926,211.35516629392416,85.40573754420926,3,0.0,0.0,110.35578820364502,110.35578820364502,0.0,1.0,0.4305182111686099,1.0,1520.9392982584566,1142.5089096060788,4,146.66659904201717,576.7589252269722,17.018342735783623,0.20980392156862746,0.5681276530778052,0.43187234692219484,0.7817140708769194,49.03303595205924,0.13286845185079046,129.64825630623352,79.01960784313725,1.07621982040503,0.0,168.73775668274618,744.9380609119404,22.242988961554147,0.1176470588235294,0.6659512295335885,0.33404877046641146,0.8215065900410794,40.377466636086076,0.09824685514567272,146.494767721192,88.23529411764706,1.3002159025691726,0.0
165,1.0,0.0,135.0112654821986,25.410714153616077,135.0112654821986,25.410714153616077,3,0.0,0.0,166.96591800840497,166.96591800840497,0.0,1.0,0.714464074742985,0.0,-314.7642924437805,10.693397665737677,4,159.65991515981798,635.4744782054732,18.995998957158072,0.1615686274509804,0.5693753332638669,0.4306246667361329,0.7744587394281127,52.127247617861535,0.09613720687247394,140.66391620265992,83.84313725490198,1.0951750956968986,0.0,193.053098761499,889.9923385544556,26.658453642903975,0.041437908496732005,0.6667788845132415,0.33322111548675853,0.8062943527357521,44.5558558196438,0.02632879790950446,166.39464511859504,95.85620915032679,1.3469793602196323,0.0
166,1.0,0.0,177.76109653367962,29.552384102054827,177.76109653367962,29.552384102054827,3,0.0,0.0,187.16436616744622,187.16436616744622,0.0,1.0,1.8233765116131286,0.0,-67.16195087858904,60.08481345293497,4,144.61272334309993,491.467332382156,14.85555769751567,0.17542483660130723,0.6263664821681777,0.37363351783182236,0.9095376506491571,44.34026299229834,0.14268327734473188,129.75716564558425,82.45751633986929,1.137514009741917,0.0,182.0455965765892,819.0087689487096,24.44779521190641,0.08333333333333333,0.6428021939155317,0.3571978060844683,0.7942959910841356,47.154624592905144,0.058824680698910344,157.5978013646828,91.66666666666667,1.288110652228041,0.0
167,1.0,0.0,143.4149968641597,25.44918481043919,143.4149968641597,25.44918481043919,3,0.0,0.0,184.7832397396321,184.7832397396321,0.0,1.0,0.694126555849685,0.0,-369.38531216513724,99.05136390122993,4,157.81650941098212,567.5186828336498,17.426217686416305,0.13307189542483658,0.6257461698204909,0.37425383017950914,0.8795151551381218,47.368129805505276,0.10922679641578263,140.39029172456583,86.69281045751633,1.164031349972677,0.0,194.7731573589086,892.2894381477139,26.927316432468093,0.030980392156862765,0.6846890359286406,0.31531096407135945,0.8285942245883353,42.439624590425865,0.019440654576687397,167.84584092644047,96.90196078431374,1.3793028036972934,0.0
168,1.0,0.0,201.9016294926854,82.38375802674257,201.9016294926854,82.38375802674257,3,0.0,0.0,99.1467745317758,99.1467745317758,0.0,1.0,0.3873505921095387,1.0,896.1504249048821,293.8151389547393,4,122.28220151242704,667.932194067697,20.026277983206473,0.4171895424836602,0.39970580033763464,0.6002941996623653,0.4696741084140685,45.74733735723655,0.20537441835326523,102.25592352922058,58.281045751633975,0.8386595771402768,0.0,142.11155641878221,1174.4014807815227,35.24457581509596,0.3568627450980393,0.3885296519485113,0.6114703480514887,0.31410039936711004,46.31819179909282,0.17205281820126492,106.86698060368622,64.31372549019608,0.8585162157571604,0.0
169,1.0,0.0,160.7836788123811,94.87228531064149,160.7836788123811,94.87228531064149,3,0.0,0.0,68.00859916880296,68.00859916880296,0.0,1.0,0.39549331599248266,1.0,769.250695968684,354.416999084909,4,121.77411181146903,675.6350258777053,20.260475845900913,0.4412418300653595,0.38159556242376524,0.6184044375762348,0.4217710619332122,46.36452469663926,0.21696720500790886,101.51363596556813,55.87581699346405,0.831644256855804,0.0,135.37583164522962,1153.8855864093155,34.59804210124039,0.43169934640522883,0.35025357345154595,0.649746426548454,0.2751602751146108,45.19611456616659,0.2145147795675234,100.77778954398923,56.830065359477125,0.8343391671929384,0.0
170,1.0,0.0,95.1726235714887,16.78815178727511,95.1726235714887,16.78815178727511,3,0.0,0.0,66.24796702757664,66.24796702757664,0.0,1.0,0.29777849115418287,0.0,235.3177565400277,120.58848264373498,4,121.92680612068166,676.2888336137572,20.294457583120487,0.44058823529411767,0.38161320082865197,0.618386799171348,0.4219622140803254,46.438084606955925,0.21639233724327056,101.6323485375612,55.94117647058823,0.8317444920898031,0.0,135.176399526197,1150.2916607330897,34.49552753703636,0.4324183006535948,0.35023986416813974,0.6497601358318602,0.27558717400494176,45.14097736257935,0.21502330233650316,100.68087198916065,56.75816993464053,0.8341315616750378,0.0
171,1.0,0.0,95.1726235714887,16.78815178727511,95.1726235714887,16.78815178727511,3,0.0,0.0,66.24796702757664,66.24796702757664,0.0,1.0,0.29777849115418287,0.0,235.3177565400277,120.58848264373498,4,121.92680612068166,676.2888336137572,20.294457583120487,0.44058823529411767,0.38161320082865197,0.618386799171348,0.4219622140803254,46.438084606955925,0.21639233724327056,101.6323485375612,55.94117647058823,0.8317444920898031,0.0,135.176399526197,1150.2916607330897,34.49552753703636,0.4324183006535948,0.35023986416813974,0.6497601358318602,0.27558717400494176,45.14097736257935,0.21502330233650316,100.68087198916065,56.75816993464053,0.8341315616750378,0.0
172,1.0,0.0,105.96843490109642,3.876714133619333,105.96843490109642,3.876714133619333,3,0.0,0.0,79.29472853069694,79.29472853069694,0.0,1.0,0.29648811661823515,0.0,260.3495018086162,14.283022608518591,4,101.87755805367607,561.7241292273817,16.71379446257302,0.5318300653594771,0.37160747520629617,0.6283925247937038,0.4161091596950643,46.14787659080165,0.10106602155407503,85.16376359110303,46.81699346405228,0.8086865536694369,0.0,117.73650375981545,1020.0151875505039,30.364425545273473,0.5069934640522876,0.3411295684844117,0.6588704315155883,0.2662966898815491,46.426453878141096,0.09492114554844454,87.37207821454196,49.30065359477124,0.8146020992578977,0.0
173,1.0,0.0,98.28433351767092,16.971059057164855,98.28433351767092,16.971059057164855,3,0.0,0.0,89.4415285122579,89.4415285122579,0.0,1.0,0.15017620482991437,0.0,140.47691276949027,116.38479518320825,4,105.57997726396381,568.6748343875269,17.031861845435202,0.5116993464052287,0.3934632596628127,0.6065367403371874,0.44135306487956577,46.20410265012074,0.09842601450201448,88.5481154185286,48.830065359477125,0.8508039414322859,0.0,123.4682829664154,1061.4173276246972,31.732579545057984,0.4824836601307189,0.35838969237443313,0.6416103076255668,0.2776979601638579,47.09193605640286,0.09003507290931213,91.73570342135741,51.751633986928105,0.8549916852792249,0.0
