c0,eta,rr,sigma,rho,Y,U,Wage_Rate,collapsed,binding,frac_seeds_collapsed,mixed_basin
1.0,0.1,0.5,0.05,0.45,116.51410412413968,0.36000000000000004,0.8713643077696908,False,demand,0.0,False
1.0,0.1,0.5,0.05,0.5,117.21406962596957,0.3562091503267974,0.8722714744496839,False,demand,0.0,False
1.0,0.1,0.5,0.05,0.55,125.96259771161031,0.30816993464052295,0.8850136855110108,False,demand,0.0,False
1.0,0.1,0.5,0.05,0.6,131.54735825620105,0.27751633986928104,0.8944213031493762,False,demand,0.0,False
1.0,0.1,0.5,0.05,0.65,136.55974030758043,0.25,0.9036988378655573,False,demand,0.0,False
1.0,0.1,0.5,0.3,0.35,109.60611585916816,0.3983660130718955,0.8625734509634664,False,demand,0.0,False
1.0,0.1,0.5,0.3,0.4,109.62149043663237,0.4228758169934641,0.8574368505019138,False,demand,0.0,False
1.0,0.1,0.5,0.3,0.45,110.94774027116154,0.42986928104575167,0.856054770953722,False,demand,0.0,False
1.0,0.1,0.5,0.3,0.5,115.03666467184162,0.418562091503268,0.8582728843183741,False,demand,0.0,False
1.0,0.1,0.5,0.3,0.55,118.06603411332088,0.41098039215686283,0.8599152648284831,False,demand,0.0,False
1.0,0.1,0.5,0.3,0.6,122.20762935281562,0.3958169934640523,0.8631877111185133,False,demand,0.0,False
1.0,0.1,0.5,0.3,0.65,127.38604927043015,0.374640522875817,0.8679336682358528,False,demand,0.0,False
1.0,0.1,0.5,0.4,0.35,109.36599065853336,0.3960130718954249,0.8631480171967981,False,demand,0.0,False
1.0,0.1,0.5,0.4,0.4,108.72668447310508,0.4284313725490196,0.8565079297518022,False,demand,0.0,False
1.0,0.1,0.5,0.4,0.45,110.28344909707862,0.43875816993464056,0.8544121830403509,False,demand,0.0,False
1.0,0.1,0.5,0.4,0.5,112.39550392007762,0.4415032679738562,0.853754891117588,False,demand,0.0,False
1.0,0.1,0.5,0.4,0.55,115.15109533514611,0.4382352941176471,0.8543588864172204,False,demand,0.0,False
1.0,0.1,0.5,0.4,0.6,118.81598214838561,0.4291503267973857,0.8561932882002057,False,demand,0.0,False
1.0,0.1,0.5,0.4,0.65,124.9578472525421,0.40738562091503266,0.8607210463709093,False,demand,0.0,False
1.0,0.1,0.5,0.5,0.35,109.19777767105973,0.3905228758169934,0.8642863578671672,False,demand,0.0,False
1.0,0.1,0.5,0.5,0.4,108.70310036443693,0.4265359477124184,0.8567034160301534,False,demand,0.0,False
1.0,0.1,0.5,0.5,0.45,110.11278724140276,0.4417647058823529,0.8537793070966645,False,demand,0.0,False
1.0,0.1,0.5,0.5,0.5,111.94021483129477,0.45013071895424844,0.8521253178397701,False,demand,0.0,False
1.0,0.1,0.5,0.5,0.55,114.97608619563783,0.44921568627450975,0.8522850596727304,False,demand,0.0,False
1.0,0.1,0.5,0.5,0.6,117.74154709698753,0.4473856209150327,0.8526209782653781,False,demand,0.0,False
1.0,0.1,0.5,0.5,0.65,121.10052211771621,0.44130718954248366,0.8537744075132009,False,demand,0.0,False
1.0,0.1,0.5,0.6,0.35,109.93704163096307,0.3778431372549019,0.8673299696244151,False,demand,0.0,False
1.0,0.1,0.5,0.6,0.4,108.34487586201033,0.4249673202614379,0.8571457650390516,False,demand,0.0,False
1.0,0.1,0.5,0.6,0.45,109.41659137404416,0.44450980392156864,0.8531179877552617,False,demand,0.0,False
1.0,0.1,0.5,0.6,0.5,111.58560348460952,0.45581699346405236,0.8510647683241913,False,demand,0.0,False
1.0,0.1,0.5,0.6,0.55,114.78999500604185,0.45751633986928103,0.8507112831842719,False,demand,0.0,False
1.0,0.1,0.5,0.6,0.6,117.45418582407332,0.4591503267973856,0.850429288478299,False,demand,0.0,False
1.0,0.1,0.5,0.6,0.65,120.72079189554643,0.4557516339869281,0.8510807775150591,False,demand,0.0,False
1.0,0.1,0.5,0.7,0.35,110.36712956159529,0.36542483660130726,0.8701500851629654,False,demand,0.0,False
1.0,0.1,0.5,0.7,0.4,108.92798044011249,0.4158823529411764,0.8589672425189723,False,demand,0.0,False
1.0,0.1,0.5,0.7,0.45,108.87062823389277,0.4461437908496731,0.8528926133110261,False,demand,0.0,False
1.0,0.1,0.5,0.7,0.5,111.3978819050911,0.4582352941176471,0.8505807536009272,False,demand,0.0,False
1.0,0.1,0.5,0.7,0.55,114.05399575472272,0.4656209150326797,0.849235589962026,False,demand,0.0,False
1.0,0.1,0.5,0.7,0.6,117.61039328789012,0.4667320261437908,0.8490355024388231,False,demand,0.0,False
1.0,0.1,0.5,0.7,0.65,120.64033587649625,0.4677124183006535,0.8488321434449589,False,demand,0.0,False
1.0,0.1,0.5,0.8,0.35,110.59732192080618,0.3523529411764707,0.8732301311134719,False,demand,0.0,False
1.0,0.1,0.5,0.8,0.4,108.6329575895274,0.4103267973856209,0.8601145375859552,False,demand,0.0,False
1.0,0.1,0.5,0.8,0.45,108.43865538617406,0.44287581699346407,0.8535407230492583,False,demand,0.0,False
1.0,0.1,0.5,0.8,0.5,110.93236010633183,0.4592156862745098,0.8503975622564006,False,demand,0.0,False
1.0,0.1,0.5,0.8,0.55,113.82944261651073,0.4688888888888889,0.8486458110928838,False,demand,0.0,False
1.0,0.1,0.5,0.8,0.6,117.2930994752199,0.4735294117647058,0.8478097056051966,False,demand,0.0,False
1.0,0.1,0.5,0.8,0.65,120.2561827055177,0.4779738562091503,0.8469916484443359,False,demand,0.0,False
1.0,0.1,0.5,0.9,0.35,110.81884338112631,0.33777777777777773,0.8769238020286684,False,demand,0.0,False
1.0,0.1,0.5,0.9,0.4,109.21784932211726,0.39771241830065357,0.8627644693677513,False,demand,0.0,False
1.0,0.1,0.5,0.9,0.45,108.53722390063952,0.4357516339869281,0.8549336274031246,False,demand,0.0,False
1.0,0.1,0.5,0.9,0.5,110.17591514539642,0.4592156862745098,0.8504104368137412,False,demand,0.0,False
1.0,0.1,0.5,0.9,0.55,113.54018092618003,0.47032679738562094,0.8483534484780426,False,demand,0.0,False
1.0,0.1,0.5,0.9,0.6,116.32687667172728,0.48104575163398683,0.8464726735194912,False,demand,0.0,False
1.0,0.1,0.5,0.9,0.65,119.43568094448405,0.48464052287581705,0.8458758679200526,False,demand,0.0,False
1.0,0.1,0.5,1.0,0.35,111.39382748493686,0.3213725490196078,0.8816493061202406,False,demand,0.0,False
1.0,0.1,0.5,1.0,0.4,108.6983346196234,0.39117647058823524,0.864183623818977,False,demand,0.0,False
1.0,0.1,0.5,1.0,0.45,108.59040714164708,0.42777777777777787,0.8564797096518131,False,demand,0.0,False
1.0,0.1,0.5,1.0,0.5,109.61813887246524,0.45692810457516336,0.850844340618005,False,demand,0.0,False
1.0,0.1,0.5,1.0,0.55,112.55262920752233,0.4725490196078432,0.8479595574652206,False,demand,0.0,False
1.0,0.1,0.5,1.0,0.6,115.78270104479166,0.4818300653594771,0.8463728997034812,False,demand,0.0,False
1.0,0.1,0.5,1.0,0.65,117.68755605836151,0.49398692810457506,0.8442847671031828,False,demand,0.0,False
1.0,0.1,0.5,1.25,0.35,114.38648752534739,0.26712418300653595,0.8978401824177703,False,demand,0.0,False
1.0,0.1,0.5,1.25,0.4,110.08317737380379,0.3509803921568628,0.8735320757087334,False,demand,0.0,False
1.0,0.1,0.5,1.25,0.45,109.3253699988873,0.4004575163398693,0.8621846921652175,False,demand,0.0,False
1.0,0.1,0.5,1.25,0.5,108.37269443908569,0.4415686274509804,0.853821400209983,False,demand,0.0,False
1.0,0.1,0.5,1.25,0.55,111.36343246432845,0.4647712418300653,0.8493618646030293,False,demand,0.0,False
1.0,0.1,0.5,1.25,0.6,113.02431615591185,0.4884313725490195,0.8452890387259441,False,demand,0.0,False
1.0,0.1,0.5,1.25,0.65,114.65368981694122,0.5047058823529412,0.8425146528708002,False,demand,0.0,False
1.0,0.1,0.5,1.5,0.35,43.017059216612274,0.7030718954248366,0.8552540715549194,False,profitmax,0.6666666666666666,True
1.0,0.1,0.5,1.5,0.4,111.96207434287015,0.3043790849673203,0.8863131916699402,False,demand,0.0,False
1.0,0.1,0.5,1.5,0.45,109.99998898939286,0.36686274509803923,0.8698183140922074,False,demand,0.0,False
1.0,0.1,0.5,1.5,0.5,109.13778387195555,0.40980392156862755,0.8603413139445305,False,demand,0.0,False
1.0,0.1,0.5,1.5,0.55,109.00000250758326,0.4483660130718954,0.8524992885968418,False,demand,0.0,False
1.0,0.1,0.5,1.5,0.6,111.65097337885084,0.47522875816993465,0.8474900532341313,False,demand,0.0,False
1.0,0.1,0.5,1.5,0.65,111.68063348252663,0.5065359477124183,0.8421065258532566,False,demand,0.0,False
2.0,0.1,0.0,0.05,0.35,28.92042786097603,0.8366666666666666,0.8049812758095269,False,capital,0.6666666666666666,True
2.0,0.1,0.0,0.05,0.4,88.14142654847335,0.514313725490196,0.8407978897022463,False,capital,0.0,False
2.0,0.1,0.0,0.05,0.45,141.9854335341645,0.22,0.9162810243574825,False,demand,0.0,False
