sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0
0.3,0.45,3,67.97646203630366,269.00505921767024,13.373491229034943,54.60297080726872,35.333333333333336,0.6466666666666666,0.46771803172235404,0.5488409715364094,0.532281968277646,0.7552429580459562,0.9051294734154085,0.42946040821157916,0.29498702081402217,119.14131744796394,96.42267790249713,0.7049877797396639,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,4,66.11104091524065,260.65331425553916,12.853694022131194,53.25734689310944,34.411764705882355,0.6558823529411764,0.46821698762354785,0.5488409715364094,0.5317830123764521,0.7614179524235303,0.9073259175491935,0.4319958560185166,0.29274039054445844,116.34879610543771,93.45055797754763,0.7078778750808097,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,5,67.10761671452033,260.2604469566419,13.12473741330465,53.982879301215696,35.15686274509804,0.6484313725490196,0.4711572987134762,0.5488409715364094,0.5288427012865238,0.7560039881165912,0.9070397611564489,0.4225929594702407,0.2802416198485701,116.2007676027744,93.24935828954787,0.7201951874157881,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,6,70.58635380365357,282.09696632785835,14.019960443393694,56.56639336025987,36.568627450980394,0.6343137254901962,0.4662487821527466,0.5488409715364094,0.5337512178472533,0.7500369970264772,0.9095290588619191,0.42773050413806696,0.3019201558633369,123.3450246571888,101.11642977837073,0.6978559947567536,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,7,67.56211331768093,267.1830325864161,13.184739395198145,54.37737392248279,35.1764705882353,0.6482352941176469,0.46841047802747526,0.5488409715364094,0.5315895219725246,0.7579535988216728,0.9091106478316646,0.42993356165960966,0.2944639065785375,118.522173233828,95.78979417159952,0.7061368454387233,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,8,71.62244818627877,287.8374609974126,14.348141368082452,57.27430681819633,37.01960784313726,0.6298039215686274,0.4651831666406931,0.5488409715364094,0.534816833359307,0.74652773487539,0.9077929237527573,0.427611783634196,0.30574688571730557,125.12939974574947,103.16523415329547,0.6939418087193047,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,9,67.43842305628212,265.98069481753896,13.188252859533858,54.250170196748265,35.07843137254902,0.6492156862745097,0.46804802552439473,0.5488409715364094,0.5319519744756053,0.7584187597392483,0.9087596882539098,0.42921885779301,0.2926804937642371,118.1487714829559,95.34588416532496,0.7080126058617247,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,10,69.77143505332978,274.77536849170775,13.881866220464962,55.88956883286482,36.35294117647059,0.6364705882352941,0.4687519823861292,0.5488409715364094,0.5312480176138707,0.7487525977312723,0.9064824227770859,0.42342310363394453,0.29123881587508854,120.9913099363287,98.44492192580132,0.7115391871826287,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,11,70.28199139673369,280.34925429302046,14.05148752782272,56.230503868910965,36.470588235294116,0.6352941176470588,0.4669308247348312,0.5488409715364094,0.5330691752651687,0.7479670623201293,0.9052050750828347,0.42758529451068217,0.3003377379616701,122.7832723292466,100.46528613035403,0.700030238608795,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,12,74.82990692118983,305.36506109625947,15.292571742693902,59.53733517849592,38.568627450980394,0.614313725490196,0.4638633256441415,0.5488409715364094,0.5361366743558585,0.7348792734201606,0.9027479577833011,0.42599728924035424,0.31619798518387565,130.36502117190818,109.43272116345776,0.6839944537949253,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,13,67.75500588491795,267.37025118720476,13.358920047461856,54.396085837456084,35.19607843137255,0.6480392156862745,0.46749741685814117,0.5488409715364094,0.5325025831418588,0.757269634287525,0.9091680975694165,0.42876193141897134,0.29291217291163035,118.61076687592308,95.82304129948781,0.7072858460188934,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,14,70.91839931984313,283.806722336652,14.199595091327744,56.71880422851539,36.72549019607843,0.6327450980392156,0.46605337509898453,0.5488409715364094,0.5339466249010155,0.7481879500674018,0.9078421660462139,0.4275226746794533,0.3027312424008576,123.87953050116751,101.70968609523068,0.6973028329829385,0.0,0.9,1.0,0.0,0.0,0.0,0.5
0.3,0.45,15,68.29270339647641,267.89571648993916,13.475743845460588,54.81695955101583,35.549019607843135,0.6445098039215685,0.46845508419276044,0.5488409715364094,0.5315449158072395,0.7537780273875438,0.9059489127199221,0.42507730103074154,0.2885788331411682,118.7828282967049,95.99258010517929,0.7118794973063776,0.0,0.9,1.0,0.0,0.0,0.0,0.5
