sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0,anchor
0.05,0.4,16,0.0,5.694686933410702e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.916805384762097,1.0,1.0,1.4698271383677827e-41,1.4489167966062165e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,17,0.0,4.155760288702384e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.919305766671373,1.0,1.0,1.0726224855397782e-41,1.0573629341488003e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,18,0.0,5.356688580326305e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9135648080524774,1.0,1.0,1.3825880753786729e-41,1.362918831004986e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.4,19,0.0,7.151519993809214e-41,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.911735861422384,1.0,1.0,1.8458430270871717e-41,1.8195833346872483e-41,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.45,0,65.19508873261623,271.1887643475927,13.559438217379622,51.63565051523663,32.0,0.6799999999999998,0.4417510668344523,0.4533160371119064,0.5582489331655478,0.7814401345711101,0.90751290580604,0.06857738080146161,0.03849813448128404,69.99517446625322,67.80547294876486,0.961501865518716,0.0,0.9,0.09999999999999998,0.0,0.9,0.0,1.0,rho050
0.05,0.45,1,71.92585971206262,310.6197511103144,15.530987555515745,56.39487215654688,35.0,0.65,0.4379509695970608,0.4533160371119064,0.5620490304029392,0.7635127771328313,0.9066486529831961,0.10286131005458383,0.07388922535767611,80.17250902024833,77.66442382644921,0.9261107746423243,0.0,0.9,0.19999999999999996,0.0,0.7999999999999998,0.0,1.0,rho050
0.05,0.45,2,74.18670823507055,328.3272914490434,16.416364572452228,57.77034366261832,36.0,0.64,0.4367359163225876,0.4533160371119064,0.5632640836774124,0.7571089619305136,0.9064885465802541,0.12456741006822647,0.09629630077711036,84.74291349017778,82.0918496835467,0.9037036992228895,0.0,0.9,0.5,0.0,0.5,0.0,1.0,rho050
0.05,0.45,3,0.0,8.679821030340682e-20,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9046553359063016,1.0,1.0,2.2403051573774765e-20,2.2084336908164626e-20,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.45,4,74.07098530369214,322.8447034777481,16.142235173887407,57.92875012980474,36.0,0.64,0.4374182396407921,0.4533160371119064,0.5625817603592081,0.7575179282485273,0.9066970566491767,0.11108947492109676,0.08238311033179141,83.32783020778982,80.72103525739887,0.9176168896682085,0.0,0.9,0.30000000000000004,0.0,0.7000000000000002,0.0,1.0,rho050
0.05,0.45,5,71.87599905604459,309.00193783528283,15.450096891764202,56.42590216428041,35.0,0.65,0.4382547778631667,0.4533160371119064,0.5617452221368333,0.7635917628879992,0.9057689577011787,0.09878941610835458,0.06968583410837369,79.75494334039735,77.25992110112351,0.930314165891626,0.0,0.9,0.09999999999999998,0.09999999999999998,0.7999999999999998,0.0,1.0,rho050
0.05,0.45,6,76.1552505248264,332.93792671197184,16.646896335598562,59.50835418922783,37.0,0.6299999999999999,0.43726466357226806,0.4533160371119064,0.562735336427732,0.7518877450765737,0.906717011282427,0.11378280239091706,0.08516341696914054,85.9329414169404,83.24464930394845,0.9148365830308598,0.0,0.9,0.30000000000000004,0.09999999999999998,0.6000000000000001,0.0,1.0,rho050
0.05,0.45,7,71.82182002874555,307.39511412735146,15.369755706367556,56.45206432237799,35.0,0.65,0.43858537680321424,0.4533160371119064,0.5614146231967858,0.764668586154471,0.9084057076146401,0.09476145453500691,0.06552779398453781,79.34021412207196,76.85816610318439,0.9344722060154621,0.0,0.9,0.30000000000000004,0.0,0.7000000000000002,0.0,1.0,rho050
0.05,0.45,8,74.09130465247327,323.69413500566276,16.184706750283162,57.90659790219013,36.0,0.64,0.43729827881926014,0.4533160371119064,0.5627017211807401,0.7574608712477442,0.906694501326594,0.11317892727726601,0.08454003927595377,83.54707272008865,80.93341908025526,0.9154599607240466,0.0,0.9,0.19999999999999996,0.09999999999999998,0.7000000000000002,0.0,1.0,rho050
0.05,0.45,9,76.19949366525276,334.9648913243182,16.748244566215963,59.45124909903679,37.0,0.6299999999999999,0.4370107778706267,0.4533160371119064,0.5629892221293734,0.7517389877499603,0.9072173988971122,0.11863380484481961,0.09017107740555115,86.45611107405415,83.75145235871805,0.9098289225944489,0.0,0.9,0.30000000000000004,0.09999999999999998,0.6000000000000001,0.0,1.0,rho050
0.05,0.45,10,74.0109751074628,320.5462793589775,16.027313967948853,57.983661139513934,36.0,0.64,0.4377729107467601,0.4533160371119064,0.5622270892532397,0.7583945431786129,0.9072084042243125,0.10544102287121553,0.07655224769078567,82.73459548191182,80.14635903589311,0.9234477523092144,0.0,0.9,0.19999999999999996,0.0,0.7999999999999998,0.0,1.0,rho050
0.05,0.45,11,79.61792600863645,356.6364782974554,17.813244409739564,61.80468159889687,38.64705882352941,0.6135294117647058,0.4368608674728054,0.4533160371119064,0.5631391325271947,0.7402564170709471,0.9027760487500038,0.13505248637487458,0.10713609271505747,92.04965519054356,89.17201193472785,0.8929075034175508,0.0,0.9,0.5176470588235295,0.2196078431372549,0.2627450980392157,0.0,1.0,rho050
0.05,0.45,12,0.0,7.173614538564166e-35,0.0,0.0,0.0,1.0,0.0,0.4533160371119064,0.0,0.0,0.9041003705300147,1.0,1.0,1.8515457394347423e-35,1.8252049179951898e-35,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1.0,rho050
0.05,0.45,13,69.81804378346118,300.0387194704376,15.001935973521867,54.816107809939304,34.0,0.6599999999999998,0.43828211650995397,0.4533160371119064,0.5617178834900461,0.7691431578237699,0.9063575604642492,0.09844139060779117,0.06932656923219198,77.44149194086165,75.01884278125475,0.9306734307678081,0.0,0.9,0.09999999999999998,0.19999999999999996,0.7000000000000002,0.0,1.0,rho050
