sigma,dY_drho,se,t,n_points,rho_min,rho_max,c0,eta
0.8,36.44267529178006,8.530262880966896,4.272163214699114,4,0.5,0.65,2.0,0.05
0.9,26.292800477038664,11.59496417449666,2.2676051500762866,4,0.5,0.65,2.0,0.05
1.0,17.724009085635142,10.471693633191608,1.6925637539142886,4,0.5,0.65,2.0,0.05
1.25,-11.279327791975987,5.764861281238799,-1.9565653433298564,4,0.5,0.65,2.0,0.05
1.5,-33.15571528691521,9.408812762250086,-3.523899999364652,4,0.5,0.65,2.0,0.05
0.05,77.45592975431907,24.917947441038965,3.1084394064798424,4,0.5,0.65,2.0,0.1
0.3,132.74241942906173,16.065439271818086,8.262607525579323,4,0.5,0.65,2.0,0.1
0.4,118.76446553697883,18.764194861035,6.329313163529362,4,0.5,0.65,2.0,0.1
0.5,147.7922450760757,22.937857331138613,6.4431582663758515,4,0.5,0.65,2.0,0.1
0.6,179.33095274249146,28.672112690073316,6.25454268685887,4,0.5,0.65,2.0,0.1
0.7,190.82019224308112,368.6878587941759,0.5175657068479942,4,0.5,0.65,2.0,0.1
0.8,266.4204208988571,422.67190947699135,0.6303244074784204,4,0.5,0.65,2.0,0.1
0.9,177.26217548835976,83.94794584043362,2.111572519300183,4,0.5,0.65,2.0,0.1
1.0,236.69176742580822,93.6804593436723,2.526586324235351,4,0.5,0.65,2.0,0.1
1.25,333.1339213162367,115.84803992945929,2.8756112017008175,4,0.5,0.65,2.0,0.1
1.5,697.9180336126453,386.17822943964546,1.8072433410483608,4,0.5,0.65,2.0,0.1
0.05,21.502147647691114,3.0626631107230224,7.02073550708454,4,0.5,0.65,2.0,0.15
0.3,31.866748609342732,86.45566617004418,0.36859063171945305,4,0.5,0.65,2.0,0.15
0.4,-139.49086577692916,54.01468964783424,-2.5824616726742993,4,0.5,0.65,2.0,0.15
0.5,-24.991430691390597,101.88701625976816,-0.24528572539285257,4,0.5,0.65,2.0,0.15
0.6,-90.74090237606393,13.104350933853853,-6.924486594879215,4,0.5,0.65,2.0,0.15
0.7,-58.53931128419214,5.125921013884936,-11.42025230697521,4,0.5,0.65,2.0,0.15
0.8,-31.777720381887832,9.817461904073319,-3.236857009722959,4,0.5,0.65,2.0,0.15
0.9,-37.4283912551397,2.5164720223410217,-14.873358782793398,4,0.5,0.65,2.0,0.15
1.0,-42.8466438309571,3.1867396101817143,-13.44529176279762,4,0.5,0.65,2.0,0.15
1.25,452.6572422657847,168.6326450355408,2.6842800346895066,4,0.5,0.65,2.0,0.15
