sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Price,c0,eta,enable_prices,prices
0.05,0.4,10,83.5774643246607,296.89267914169244,14.84463395708462,68.7328303675761,46.0,0.54,0.49534883995977314,0.5120135414510577,0.5046511600402268,0.6867912714123036,0.9074998680963172,0.15595339403719335,0.12347198012392888,99.01996374871223,95.35059054527132,0.8765280198760709,0.0,0.9,0.5,0.3999999999999999,0.09999999999999998,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.4,11,94.8064908064749,349.86467628864193,17.481953694762286,77.32453711171263,52.13725490196079,0.47862745098039217,0.494937787874841,0.5120135414510577,0.5050622121251591,0.6466098729464519,0.9051268823337656,0.18750697522091053,0.15626195256287623,116.68598927537741,112.3650593428402,0.843752415946781,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,0,96.48221886199356,387.0602012196673,19.353010060983397,77.12920880101012,53.0,0.46999999999999986,0.4943916149796394,0.5120135414510577,0.5056083850203608,0.6368773029030991,0.906428268144001,0.25255635266433496,0.22385142184824328,129.08293381837376,124.30895524120747,0.7761485781517564,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,1,98.30113746901314,392.89752213878955,19.644876106939506,78.65626136207362,54.0,0.46,0.49439916211874846,0.5120135414510577,0.5056008378812513,0.6320962746916515,0.9104623567760736,0.2497606339409674,0.2209678967596399,131.02636560566498,126.18367979975737,0.7790321032403602,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,2,96.48000002944532,384.9318158285323,19.24659079142668,77.23340923801864,53.0,0.46999999999999986,0.49440298492373713,0.5120135414510577,0.5055970150762629,0.6379637196810388,0.9087125568514386,0.24844653930458424,0.2195778480382384,128.3741012118711,123.62539913420164,0.7804221519617612,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,3,92.83322534066174,365.61428300365435,18.280714150182778,74.55251119047897,51.0,0.49,0.4944350455514703,0.5120135414510577,0.5055649544485297,0.6494578490314136,0.903630764247682,0.23867860301332378,0.20940076866689086,121.936971308172,117.42134530554281,0.790599231333109,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,4,94.6548029987524,373.73093668921786,18.686546834460895,75.96825616429152,52.0,0.48,0.4944281591354307,0.5120135414510577,0.5055718408645693,0.6446568593519386,0.9073107361974725,0.24058849485553424,0.21139466968785992,124.64230836316585,120.02810450353769,0.7886053303121401,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,5,91.00747560865281,354.9578092714014,17.747890463570112,73.25958514508272,50.0,0.5,0.49446487444072645,0.5120135414510577,0.5055351255592736,0.6575386285684753,0.906997657207512,0.23125332420066833,0.20168105766284977,118.38422002153649,113.99889290140143,0.7983189423371503,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,6,89.76815193373648,350.0358081352397,17.427455297757252,72.34069663597924,49.333333333333336,0.5066666666666668,0.49460566221845376,0.5120135414510577,0.5053943377815462,0.6615862792547413,0.9058483529163347,0.23105848947493376,0.20156121662420085,116.74305130819278,112.43067159863641,0.7978819448467998,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.45,7,89.1872033898064,347.78796748582073,17.389398374291087,71.79780501551532,49.0,0.51,0.4944655547416838,0.5120135414510577,0.5055344452583163,0.6633652824707518,0.9065112668496497,0.23110178506803733,0.20151990320206278,115.99351078958907,111.69621352800736,0.7984800967979376,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
