point,beta,lambda_u,rho,seed,Output,Unemployment_Rate,Total_Capital,Investment,Average_Utilization,Util_Effect_mean,Util_Effect_sd,Util_Effect_min,Util_Effect_max,Expected_Utilization_mean
0,0.05,1.0,0.65,10,102.38119768909942,0.55,727.544714719836,36.37723573599177,0.3378376400129833,0.971891882000649,1.1212702919885052e-16,0.9718918820006491,0.9718918820006491,0.3378376400129833
0,0.05,1.0,0.65,11,116.84074946239981,0.49,864.7161521178133,43.23580760589077,0.3267891808728751,0.9713394590436435,2.2425405839770103e-16,0.9713394590436437,0.9713394590436437,0.3267891808728751
0,0.05,1.0,0.65,12,112.08082864528402,0.51,821.6889822609907,41.084449113049466,0.32904702958170645,0.9714523514790854,0.0,0.9714523514790854,0.9714523514790854,0.32904702958170645
0,0.05,1.0,0.65,13,119.0284261020755,0.4782352941176471,865.9649504764067,44.254908388679176,0.33462123200367144,0.9717501534611568,0.0008266543011847809,0.9702380141379802,0.9728779436779054,0.33462123200367144
0,0.05,1.0,0.65,14,121.6831503529835,0.46999999999999986,912.2713136336586,45.61356568168306,0.3234580275667512,0.9711729013783377,0.0,0.9711729013783377,0.9711729013783377,0.3234580275667512
0,0.05,1.0,0.65,15,123.03851820995668,0.46392156862745104,921.5503758949468,46.15223380389985,0.32418276137608865,0.9712105252244347,0.00016459331115397478,0.9709422107273875,0.9714069343520146,0.32418276137608865
0,0.05,1.0,0.65,16,122.6062302356346,0.4658823529411765,919.5039617925835,45.9653387813235,0.3235482004719338,0.9711682607808181,0.0002181603648185694,0.9709120194469275,0.971480967037628,0.3235482004719338
0,0.05,1.0,0.65,17,124.13785141789837,0.46,937.9786313923815,46.898931569619165,0.3213852820699769,0.9710692641034988,0.0,0.9710692641034988,0.9710692641034988,0.3213852820699769
0,0.05,1.0,0.65,18,116.81033068117127,0.49,863.1452223712753,43.15726111856388,0.32729870681726686,0.9713649353408635,1.1212702919885052e-16,0.9713649353408634,0.9713649353408634,0.32729870681726686
0,0.05,1.0,0.65,19,111.93659390404962,0.5092156862745097,811.1268345757679,40.77049778585411,0.33318227431418995,0.9716633285746761,0.000442753100802717,0.9711513570491977,0.9728336009129673,0.33318227431418995
1,0.05,0.75,0.35,0,82.46427265964932,0.5645098039215687,300.1559601077494,14.903772538227566,0.6590200527354088,0.9879654178687381,0.0007408786524040531,0.9870383665824735,0.989039314676582,0.6590921288952468
1,0.05,0.75,0.35,1,79.60725236991362,0.5747058823529412,281.52896472675775,14.038364428120087,0.6775377831498971,0.9888672365305741,0.00035095996536551585,0.9884341416183278,0.9892938539715133,0.6774895200152933
1,0.05,0.75,0.35,2,82.69565891904028,0.5533333333333333,287.03325212046,14.581351143342417,0.6930212031707622,0.9895623738880278,0.001999258367956553,0.9859680769993467,0.9920317905214835,0.6925777718182101
1,0.05,0.75,0.35,3,81.02996450706658,0.567843137254902,288.06828363115966,14.436192556757707,0.6743833250800294,0.9887076090479358,0.0005675695301198984,0.9879057468201407,0.9898316307869596,0.6743255390497008
1,0.05,0.75,0.35,4,81.30067456065953,0.5680392156862745,291.89462938077895,14.518969825624168,0.6665195648757338,0.9883499660942929,0.0009375655673771948,0.9869025060105585,0.9894184712282137,0.6666395041282647
1,0.05,0.75,0.35,5,82.44867451889108,0.5609803921568627,294.8637611524318,14.769545867946167,0.6709666668511356,0.9885732349375344,0.0011701355282788069,0.9866793082963078,0.9900315138662481,0.6710911748260233
1,0.05,0.75,0.35,6,85.54216523662107,0.5409803921568627,301.09153093410964,15.322529535817118,0.6838148034555742,0.9892250932087685,0.0012299773820038653,0.9865631025509011,0.9905447442668978,0.6839865686355233
1,0.05,0.75,0.35,7,82.90864193341329,0.5586274509803921,295.4245703588396,14.756077935337379,0.6731008503460508,0.9886728398433837,0.00022392568099882917,0.9885104483247705,0.9894284308234089,0.6731898369764562
1,0.05,0.75,0.35,8,82.30301345169646,0.5617647058823529,293.59434018947366,14.665525615263634,0.6720027028749217,0.9886015653831328,0.0005079798997636129,0.9879680602646648,0.9894260498521463,0.6720098540718558
1,0.05,0.75,0.35,9,80.09509292545957,0.5717647058823528,283.85997466809886,14.087905870773676,0.6758427129205414,0.9887686341858426,0.0012292771115130453,0.9873213661163911,0.9908108085350829,0.6757252056196186
1,0.05,0.75,0.35,10,83.0726005647832,0.559607843137255,299.80471810533925,15.00317193527939,0.6650537159684289,0.9882540797171045,0.0005581322751291844,0.9873123800444301,0.9890763857047464,0.6650606855618445
1,0.05,0.75,0.35,11,81.54925980796521,0.5633333333333332,288.3095119962665,14.4426822510068,0.6783119031247619,0.9889013111238683,0.0015317028874110544,0.9870394837190851,0.9914035025069466,0.6782404829629125
1,0.05,0.75,0.35,12,83.63434393947976,0.55,292.125117391367,14.884168714403364,0.6882702026245925,0.9893659088747049,0.0005875171221377797,0.9880448346023218,0.9906890986962728,0.6880321963419678
1,0.05,0.75,0.35,13,83.99103077048528,0.5572549019607843,307.11135880293466,15.340540006858285,0.6562960253383506,0.9878133615743404,0.00047617767728709483,0.9869716363180079,0.9884458206575673,0.6562888268754639
1,0.05,0.75,0.35,14,84.29890532793601,0.553921568627451,305.62838734697016,15.375026903301205,0.6625604882028672,0.9881383617883108,0.0007914435128523776,0.9869159290038679,0.9891672411211669,0.6626121750937036
1,0.05,0.75,0.35,15,80.49533274997493,0.5700000000000002,284.3111096434561,14.21555548215873,0.6781777866080437,0.9889088893304003,1.8769534344527267e-14,0.9889088893303656,0.988908889330429,0.6781777866080353
1,0.05,0.75,0.35,16,82.1727335392876,0.5599999999999999,288.69435401543507,14.450655226729543,0.682052421806706,0.9891036912592667,1.1927422175841211e-05,0.9890867566388651,0.9891272238575175,0.682057772651363
1,0.05,0.75,0.35,17,82.72770394991709,0.551764705882353,285.01161984972276,14.466305630227799,0.7023727728827228,0.9900257444979876,0.0016951756530989978,0.9873796627835831,0.9920763956028098,0.7019083021519802
1,0.05,0.75,0.35,18,86.32076999241121,0.5282352941176471,293.11970321548375,15.222938630915671,0.7152699228080269,0.9908823439535115,0.002327674615051931,0.9858381172580251,0.9930608200806864,0.7158641618735777
1,0.05,0.75,0.35,19,86.1122180756813,0.5354901960784313,300.01182918508323,15.432492625194305,0.6930041615461974,0.9897146747905758,0.0015824756595884967,0.986285437550386,0.9913944362479288,0.6933264951125275
1,0.05,0.75,0.45,0,88.0343098991332,0.582156862745098,440.238729194761,22.027887221924942,0.4784291646676248,0.9789079066707165,0.00023240835117706752,0.9784205280548249,0.9791434820003406,0.47836140685430095
1,0.05,0.75,0.45,1,91.69096716092633,0.5664705882352942,465.41293445344206,23.270647720724092,0.4721548877622802,0.9786079649426691,0.0002637743404859179,0.9783519342891672,0.9790081450588104,0.47215599053505575
1,0.05,0.75,0.45,2,83.95265170142065,0.5960784313725489,401.946339267404,20.190933501827324,0.4991370739393907,0.9799062777197504,0.0006774652144270002,0.9791378560322958,0.9818000416232037,0.4988841940532944
