point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
37,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.809325942643524e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692725938725804,0.0,0.0,7.098525390380819e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692725938725804,0.0
38,0.0,1.0,0.0,0.0,,,5,,0.0,0.0,2.594418928935501e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692725938725804,0.0,0.0,5.6866417904485785e-78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692725938725804,0.0
39,0.0,1.0,648.2614545323794,3.727060037945359,,,5,,0.0,0.0,9.749589306127915e-40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692725938725804,0.0,129.6522909064759,563.1068097575467,28.170651495753326,0.2951764705882353,0.4822596912415228,0.5177403087584772,0.6051266277801955,40.39840102788225,0.15493897163257825,101.48163941072262,70.48235294117646,0.887161593341796,0.0
40,0.0,1.0,652.9230328575131,4.34498124458114,,,5,,0.0,0.0,4.0254215515792846e-40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,130.58460657150266,566.0300570737454,28.273859942262533,0.2896862745098039,0.48697987904949364,0.5130201209505063,0.6101743883228924,40.40357533296851,0.1522385170729963,102.31074662924014,71.03137254901961,0.8953218747594365,0.0
41,0.0,1.0,653.6693949823175,5.0466037246420345,,,5,,0.0,0.0,3.998998941902199e-40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,130.73387899646355,565.1535041708856,28.334528997688558,0.2883529411764706,0.4874101470610361,0.5125898529389639,0.612065833787306,40.426800685341085,0.151440827126314,102.39934999877497,71.16470588235293,0.8954634536966821,0.0
42,0.0,1.0,653.6520618017835,2.506470467626184,,,5,,0.0,0.0,4.696025723326279e-40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,130.73041236035675,566.1946356472799,28.328459198470153,0.2887450980392156,0.4871302073598818,0.5128697926401182,0.6108224038217868,48.03776261927741,0.1516535529705486,102.40195316188661,71.12549019607843,0.8954346556922278,0.0
43,0.0,1.0,652.0396500381937,4.29801702706597,,,5,,0.0,0.0,4.436050911511886e-40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,130.40793000763878,565.1330191980267,28.215624755848115,0.29066666666666663,0.4868595384507738,0.5131404615492263,0.6102094789112037,47.94594705723915,0.15291622451135792,102.19230525179067,70.93333333333334,0.8951411036649531,0.0
44,0.0,1.0,652.0396500381937,4.29801702706597,,,5,,0.0,0.0,2.113531805754599e-40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,130.40793000763878,565.1330191980267,28.215624755848115,0.29066666666666663,0.4868595384507738,0.5131404615492263,0.6102094789112037,47.94594705723915,0.15291622451135792,102.19230525179067,70.93333333333334,0.8951411036649531,0.0
45,0.0,1.0,652.0396500381937,4.29801702706597,,,5,,0.0,0.0,2.113531805754599e-40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,130.40793000763878,565.1330191980267,28.215624755848115,0.29066666666666663,0.4868595384507738,0.5131404615492263,0.6102094789112037,47.94594705723915,0.15291622451135792,102.19230525179067,70.93333333333334,0.8951411036649531,0.0
46,0.0,1.0,896.901015558206,4.760319964353621,,,5,,0.0,0.0,4.71114830113193e-41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8414534919521828,0.0,179.38020311164126,724.9881839859229,36.227369054999635,0.0036470588235293804,0.5673226020654782,0.43267739793452176,0.7256785342825499,61.68534934552268,0.0015719142688869446,143.15283405664164,99.63529411764706,1.021392542246646,0.0
