point,sigma,delta,pi0,c0,beta,viable,n_rho,quad_coef,quad_coef_se,convex,curvature_resolved,rho_star,rho_star_committed,rho_star_in_support,rho_star_resolved,rho_anchored_max,anchored_left_of_turn
1011,0.5874371958896518,0.0521669320017099,0.3598753774538636,1.982592523097992,0.1088634487241506,1.0,4,224.58158474730433,9.834667162192487,True,True,0.20547281230633993,0.205472812306134,False,False,0.36322167826597684,
1012,0.5874371958896518,0.0521669320017099,0.3598753774538636,0.9192089028656484,0.1088634487241506,1.0,4,356.3332114847108,3.7540334017260832,True,True,0.3532173948255533,0.3532173948255679,True,True,0.36322167826597684,0.0
1013,0.5663268813863397,0.0651868170686066,0.3453096533194184,0.9192089028656484,0.3105638539418578,0.0,4,-2719.2283469715253,1322.544761355424,False,False,0.5758288371253676,0.5758288371253676,True,False,0.36322167826597684,
1014,0.5371403284370899,0.0449690635688602,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,253.19997284239113,10.480540626658065,True,True,0.4014363247754535,0.4014363247754535,True,True,0.36322167826597684,1.0
1015,0.5082339452579617,0.0449690635688602,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,207.55117519042693,24.08133930685217,True,True,0.37089458707969386,0.3708945870796938,True,True,0.36322167826597684,1.0
1016,0.5371403284370899,0.0449690635688602,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,181.41976788745188,31.34492903739754,True,True,0.36517776942561175,0.3651777694254513,True,True,0.36322167826597684,1.0
1017,0.5371403284370899,0.0449690635688602,0.3750862779095769,2.0852050743997097,0.408256372436881,1.0,4,44.92676036666156,7.299206730345529,True,True,-0.13954087075810803,-0.139540870757316,False,False,0.36322167826597684,
1018,0.5371403284370899,0.0449690635688602,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,182.65199661785118,2.1328812520018205,True,True,0.3554645990474346,0.3554645990474627,True,True,0.36322167826597684,0.0
1019,0.5371403284370899,0.0491082811541855,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,317.6014217931172,80.00484326091414,True,True,0.4223919281346521,0.4223919281344973,True,True,0.36322167826597684,1.0
1020,0.5371403284370899,0.0449690635688602,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,243.8618923063893,2.047809088230613,True,True,0.3968962257157278,0.3968962257157278,True,True,0.36322167826597684,1.0
1021,0.5371403284370899,0.0449690635688602,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,234.15821812562044,19.79923324025661,True,True,0.39524608282877877,0.3952460828287629,True,True,0.36322167826597684,1.0
1022,0.5371403284370899,0.0449690635688602,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,-1326.197921579623,70.7079579325732,False,False,0.5556559486474746,0.5556559486474746,True,False,0.36322167826597684,
1023,0.5371403284370899,0.0449690635688602,0.322456237860024,2.0852050743997097,0.9424486113712192,1.0,4,173.52941699681185,35.5063801848485,True,True,0.5078072704693923,0.5078072704693923,True,True,0.36322167826597684,1.0
1024,0.5371403284370899,0.0449690635688602,0.322456237860024,2.0852050743997097,0.408256372436881,1.0,4,216.11996124259346,3.3186523793332907,True,True,0.3592021756493731,0.3592021756493731,True,True,0.36322167826597684,0.0
1025,0.5371403284370899,0.0449690635688602,0.322456237860024,1.2097573839128015,0.408256372436881,1.0,4,117.45708944228355,8.548334560253968,True,True,0.3299665362674576,0.3299665362674576,False,False,0.36322167826597684,
1026,0.5082339452579617,0.0491082811541855,0.3750862779095769,1.2097573839128015,0.9424486113712192,1.0,4,27.318177134822818,7.637775632628559,True,True,0.10686875535955725,0.1068687553595572,False,False,0.36322167826597684,
1027,0.4690127298235893,0.0659632299095392,0.398949843365699,1.3631538096815348,0.7354794032871723,1.0,4,162.4223482829282,35.973181084311946,True,True,0.36957586434348216,0.3695758643434821,True,True,0.36322167826597684,1.0
1028,0.4366942537948489,0.0659632299095392,0.398949843365699,1.3631538096815348,0.7354794032871723,1.0,4,119.47966342332748,60.27297195892929,True,False,0.33181993856617376,0.3318199385661918,False,False,0.36322167826597684,
1029,0.4690127298235893,0.0659632299095392,0.398949843365699,1.3631538096815348,0.7354794032871723,1.0,4,84.16423651070292,20.94603806490168,True,True,0.2285694768732181,0.2285694768732181,False,False,0.36322167826597684,
1030,0.4690127298235893,0.0659632299095392,0.3138527143746614,1.3631538096815348,0.7354794032871723,0.0,4,647.1734361510197,3117.3161796475133,True,False,-0.030829233443722785,-0.0308292334437227,False,False,0.36322167826597684,
1031,0.4690127298235893,0.0659632299095392,0.398949843365699,1.3631538096815348,0.7354794032871723,1.0,4,156.92570658167307,63.74986331748313,True,True,0.3664948029449378,0.3664948029449378,True,True,0.36322167826597684,1.0
1032,0.4690127298235893,0.0832868313789367,0.398949843365699,1.3631538096815348,0.7354794032871723,0.0,4,-3253.141500869476,1521.939025703805,False,False,0.568262901832674,0.568262901832674,True,False,0.36322167826597684,
1033,0.4690127298235893,0.0659632299095392,0.398949843365699,1.3631538096815348,0.7354794032871723,1.0,4,161.68832356755246,34.98838358787173,True,True,0.36907456627233215,0.3690745662723793,True,True,0.36322167826597684,1.0
1034,0.4690127298235893,0.0659632299095392,0.398949843365699,1.3631538096815348,0.7354794032871723,1.0,4,217.83834443688536,29.659942626479197,True,True,0.42164945190637937,0.4216494519063793,True,True,0.36322167826597684,1.0
