sigma,rho,Y,K,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Expected_Demand,Y_seed_min,Y_seed_max,n_seeds,frac_seeds_collapsed,collapsed,mixed_basin,Y_band_rel,binding,c0,eta,lambda_e
0.4,0.35,91.79534839436562,289.11609926447557,14.490926174006864,77.30442222035876,51.84313725490197,0.4815686274509804,0.5081521588038289,0.5643032549995192,0.49184784119617103,0.6509002835051232,0.9084555547488412,0.3010928376674661,0.15590451257980883,131.33995986629412,108.79014214670796,0.8443914492804655,0.0,0.9,0.9838235294117647,0.016176470588235292,0.0,0.0,0.9,0.0,97.08205046980206,88.2346718035015,94.78516640643444,20,0.0,False,False,0.07135976623555156,demand,1.0,0.0,0.25
0.4,0.4,87.85146921951693,312.2267643171567,15.612425671000633,72.2390435485163,46.98235294117647,0.5301764705882352,0.48121276304827304,0.5643032549995192,0.518787236951727,0.6873531358362137,0.9086714057875087,0.3595142016178034,0.2520136454244681,137.157235370558,117.4945380955962,0.7481120394387862,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,94.54199914538376,85.14143967270847,91.23760957901577,20,0.0,False,False,0.06939178092826911,demand,1.0,0.0,0.25
0.4,0.45,88.6914156636335,352.74174105140406,17.627805963582468,71.06360970005105,45.57058823529412,0.5442941176470588,0.4624100900501915,0.5643032549995192,0.5375899099498085,0.6984520158589779,0.9084797010333219,0.39364250903414594,0.33158071156920843,146.25467634279823,132.74319089706196,0.6684408581507187,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,95.39324664402716,84.63697790580929,92.5301733818546,20,0.0,False,False,0.08899616064288153,demand,1.0,0.0,0.25
0.4,0.5,89.17348703641788,388.3726842290906,19.312900190881724,69.86058684553618,44.62549019607843,0.5537450980392157,0.4503815653432353,0.5643032549995192,0.5496184346567647,0.7046638816377934,0.9082564286116253,0.41825490989334935,0.3897590324116452,153.27123529214595,146.17314527467536,0.6100824218154204,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,96.71130237649275,84.99954705528293,92.29594836425453,20,0.0,False,False,0.08182254111013729,demand,1.0,0.0,0.25
0.4,0.55,91.02918593710226,428.3832173492771,21.369319213128698,69.65986672397356,44.68921568627451,0.5531078431372549,0.44184378172345584,0.5643032549995192,0.5581562182765443,0.7032646832538811,0.9078329415190591,0.43177421232757424,0.42893442191703957,160.17479114147238,159.39673852240543,0.5648315311903163,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,98.98791269600737,86.175626025595,96.11905775478655,20,0.0,False,False,0.10923344668886852,demand,1.0,0.0,0.25
0.4,0.6,95.23227074723908,483.49088218431206,24.20697098751392,71.02529975972516,45.99901960784314,0.5400098039215686,0.43473736841716504,0.5643032549995192,0.565262631582835,0.6935816568252273,0.907781582660351,0.4342304182025664,0.4342304182025664,168.2837417465721,168.2837417465721,0.5237824687112956,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,103.02513390520303,91.0396667093106,100.98917670200503,20,0.0,False,False,0.10447624439305812,demand,1.0,0.0,0.25
0.4,0.65,98.33011099052716,533.6859569864365,26.668144148892946,71.66196684163421,46.90588235294118,0.5309411764705882,0.4293383385724052,0.5643032549995192,0.5706616614275948,0.6858800249524548,0.9072973393957537,0.4368257548162471,0.4368257548162471,174.55276406542717,174.55276406542717,0.4899150006550901,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,106.7697955136726,94.08817190928887,105.19314656902934,20,0.0,False,False,0.11293564654686787,demand,1.0,0.0,0.25
0.5,0.35,92.40475526174974,284.2918813087048,14.241177800766167,78.16357746098359,52.793137254901964,0.4720686274509804,0.5140588351872932,0.580201151367446,0.4859411648127067,0.6433321583267868,0.908353557314087,0.3101311253463363,0.1799247513433456,133.94159755031848,112.69737760439065,0.8201764977035075,0.0,0.9,0.9994117647058823,0.0005882352941176471,0.0,0.0,0.9,0.0,97.77186264697508,89.8284743419013,95.56732191671541,20,0.0,False,False,0.06210554379542488,demand,1.0,0.0,0.25
0.5,0.4,88.45253163705024,311.09723778619787,15.53298594977326,72.91954568727697,47.4156862745098,0.525843137254902,0.48234941174223467,0.580201151367446,0.5176505882577653,0.6847373591996748,0.9086511764717649,0.36799338459548414,0.2826192186316948,139.93937283256489,123.3357140911261,0.7176110502552635,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,94.6965379264003,83.68147456673181,91.23401381056843,20,0.0,False,False,0.08538522418812348,demand,1.0,0.0,0.25
0.5,0.45,87.41277239257576,342.2822748690636,17.083925849481922,70.32884654309385,44.886274509803926,0.5511372549019609,0.46205599986545476,0.580201151367446,0.5379440001345452,0.7034249057912493,0.9086412514149261,0.4025101866636705,0.35557736162924863,146.28880660362157,135.70060274593388,0.6447231472261352,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,94.35236813574214,84.92540660159956,89.67070143488384,20,0.0,False,False,0.05428605801418683,demand,1.0,0.0,0.25
0.5,0.5,88.67206851517531,383.68097413308794,19.117212109135487,69.55485640603983,43.9656862745098,0.5603431372549019,0.4461786494979533,0.580201151367446,0.5538213505020468,0.7104870794888811,0.9082501199424321,0.4235427379056471,0.4153413665785052,153.80792260725133,151.68581462102867,0.5830129130216493,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,95.85101112109501,86.0221333387112,91.53090780362507,20,0.0,False,False,0.062125250455515195,demand,1.0,0.0,0.25
