point,viable,frac_seeds_collapsed,slope_raw,slope_raw_seed_sd,slope,slope_seed_sd,n_seeds,wage_led,wage_led_raw,chord_raw,chord,wage_led_chord,viable_chord,rho_star,rho_star_in_support,quad_coef,quad_coef_se,n_rho,Output_lo,Total_Capital_lo,Investment_lo,Unemployment_Rate_lo,Wage_Share_lo,Profit_Share_lo,Average_Utilization_lo,Capitalist_Consumption_lo,Tax_Rate_lo,Consumption_lo,Employment_lo,Wage_Rate_lo,Money_Buffer_lo,Output_hi,Total_Capital_hi,Investment_hi,Unemployment_Rate_hi,Wage_Share_hi,Profit_Share_hi,Average_Utilization_hi,Capitalist_Consumption_hi,Tax_Rate_hi,Consumption_hi,Employment_hi,Wage_Rate_hi,Money_Buffer_hi
802,0.0,1.0,266.43519736250886,8.536480878020956,,,3,,0.0,399.41837767413705,,,0.0,0.579058899137482,1.0,-1685.0424194448033,794.2750844403159,4,0.0,3.476023503720753e-51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8030017443943317,0.0,79.88367553482745,349.6890625439349,22.80036717895314,0.6305228758169933,0.38618117449491557,0.6138188255050844,0.507167275348324,29.223482478233137,0.27710836101624153,57.0833083558743,36.947712418300654,0.835070589899031,0.0
803,0.0,1.0,277.1177406189048,7.316110309184213,,,3,,0.0,406.2976302394558,,,0.0,0.5837671039412661,1.0,-1654.0964625756435,810.1219864865036,4,0.0,3.1715653858643643e-47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8030017443943317,0.0,81.25952604789119,369.6366566481482,24.122978611027378,0.6296078431372548,0.3806256110804514,0.6193743889195487,0.48801007942617053,29.221828180887996,0.27650833085273224,57.1365474368638,37.03921568627451,0.8351972439757529,0.0
804,0.0,1.0,447.41496951915764,5.871804727018312,,,3,,0.0,643.6295757928006,,,0.0,0.5869333156789689,1.0,-2573.322816602114,1366.6327679114088,4,0.0,1.2155068469220375e-53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8030017443943317,0.0,128.72591515856016,587.122599464663,38.07967051648029,0.4147058823529412,0.3933508780244297,0.6066491219755702,0.49965053483395666,48.22174005530088,0.11884312496104775,90.64624464207988,58.529411764705884,0.8651919516639258,0.0
805,1.0,0.0,114.85098614928631,15.035175787311214,114.85098614928631,15.035175787311214,3,0.0,0.0,108.7738596978445,108.7738596978445,0.0,1.0,0.05138554447177119,0.0,128.0063367708974,150.34219203745636,4,86.95788882357668,401.2522524864776,17.07943446673454,0.636013071895425,0.33137802439688396,0.6686219756031161,0.49607839018823147,39.006583389051656,0.21633582277506816,69.87845435684216,36.39869281045751,0.7917383957264108,0.0,108.71266076314559,812.7409529479179,34.68979336706644,0.5886274509803923,0.3029810802795448,0.6970189197204553,0.30801091687782534,40.36235496098591,0.191286116875759,74.02286739607914,41.13725490196078,0.8006227302010527,0.0
806,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.899004478018274e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.529311223748611e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
807,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.3837617371814265e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.13597251007187e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
808,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.54971529274357e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793712317489245,0.0,0.0,1.2293137977735697e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793712317489245,0.0
809,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,6.661240222354291e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,5.735604500731712e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
810,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.9465463691041227e-76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.549304763917998e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
811,0.0,1.0,0.0,0.0,,,3,,0.0,0.0,,,0.0,,0.0,,,4,0.0,4.107483764224734e-75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0,0.0,1.2086445960986392e-74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442187591027372,0.0
