sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,c0
0.05,0.35,18,81.9300321275324,259.91177273188254,12.995588636593636,68.93444349093876,46.0,0.54,0.5053092123234703,0.5120135414510577,0.49469078767652974,0.688830868214897,0.9127736360898411,0.054865314594824376,0.018493284450735264,86.6860918265943,83.47373566535731,0.9815067155492639,0.0,0.9,0.09999999999999998,0.19999999999999996,0.7000000000000002,0.0,1.0
0.05,0.35,19,86.59294694617363,285.79998898629594,14.289999449314797,72.30294749685885,48.0,0.52,0.4988858968716379,0.5120135414510577,0.501114103128362,0.6754710265601569,0.905557103033811,0.09155858069413833,0.05659882290182935,95.32034218820532,91.7880420846271,0.9434011770981703,0.0,0.9,0.5,0.19999999999999996,0.30000000000000004,0.0,1.0
0.05,0.4,0,85.38780965871027,302.77368682883247,15.138684341441648,70.24912531726861,47.0,0.5300000000000001,0.4953868727757563,0.5120135414510577,0.5046131272242436,0.682201568932972,0.9113087013873049,0.15442026334109563,0.12188004650207244,100.98138112450368,97.23934562536027,0.8781199534979277,0.0,0.9,0.5,0.19999999999999996,0.30000000000000004,0.0,1.0
0.05,0.4,1,83.5515277246705,294.7405277899402,14.737026389497032,68.81450133517347,46.0,0.54,0.49550260931704915,0.5120135414510577,0.5044973906829507,0.6877479890656504,0.9094269589864669,0.1500541916724245,0.11734570251751165,98.30218221685627,94.6594017193103,0.8826542974824886,0.0,0.9,0.5,0.19999999999999996,0.30000000000000004,0.0,1.0
0.05,0.4,2,85.37935085312358,302.0636222841427,15.103181114207182,70.2761697389164,47.0,0.5300000000000001,0.49543595233896603,0.5120135414510577,0.5045640476610338,0.6822902152896351,0.9102887270550123,0.15251653850614422,0.11990303352108289,100.74456285273783,97.0113000101664,0.880096966478917,0.0,0.9,0.5,0.19999999999999996,0.30000000000000004,0.0,1.0
0.05,0.4,3,94.57474212876733,347.311884915346,17.365594245767298,77.20914788300007,52.0,0.48,0.49484671008967585,0.5120135414510577,0.5051532899103242,0.6484484156300416,0.9069186193911619,0.18353745169751381,0.152125405387995,115.83475852676706,111.54331398742475,0.8478745946120047,0.0,0.9,0.9,0.0,0.09999999999999998,0.0,1.0
0.05,0.4,4,92.74599339131841,338.9823056921917,16.949115284609572,75.79687810670883,51.0,0.49,0.4949000848622807,0.5120135414510577,0.5050999151377193,0.6556623480869497,0.9100358781119663,0.1796535370684169,0.1480889929854372,113.05710158105896,108.86817123814077,0.8519110070145629,0.0,0.9,0.9,0.0,0.09999999999999998,0.0,1.0
0.05,0.4,5,89.87921604148671,324.8529143979454,16.23993293854818,73.63928310293856,49.470588235294116,0.505294117647059,0.49536713673671806,0.5120135414510577,0.5046328632632819,0.6649040476864437,0.90735917683977,0.17043454877309946,0.1385115472456599,108.34504782653335,104.33062869731218,0.8615649524835707,0.0,0.9,0.8254901960784311,0.13137254901960782,0.04313725490196079,0.0,1.0
0.05,0.4,6,87.84321451269204,316.0111912813079,15.799675541069824,72.0435389716222,48.35294117647059,0.5164705882352942,0.49539737842006704,0.5120135414510577,0.504602621579933,0.6713220524701944,0.9061912754514585,0.16654336845342843,0.13446843353381513,105.39627137765743,101.49076485233344,0.8655546555287368,0.0,0.9,0.8882352941176471,0.011764705882352943,0.09999999999999998,0.0,1.0
0.05,0.4,7,89.10197043686834,324.63308170171337,16.231654085085708,72.87031635178263,49.0,0.51,0.4949385494369767,0.5120135414510577,0.5050614505630233,0.6669592283351884,0.9072299249875558,0.17705233196291173,0.14538475546065627,108.27173330400976,104.25974847300584,0.8546152445393435,0.0,0.9,1.0,0.0,0.0,0.0,1.0
