sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,config
0.5,0.65,16,93.78049741836068,506.067386873997,25.334777811173268,68.44571960718743,43.666666666666664,0.5633333333333335,0.41905314463235266,0.580201151367446,0.5809468553676473,0.7104136802556487,0.908027149257778,0.4529930486576542,0.4529930486576542,171.44280902218125,171.44280902218125,0.4676984388196604,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,17,99.48581982802436,549.503502828231,27.47101326482775,72.0148065631966,46.03921568627451,0.539607843137255,0.4164931773355761,0.580201151367446,0.5835068226644239,0.6983686243046038,0.9137240892076361,0.43617047757951144,0.43617047757951144,176.4466215474348,176.4466215474348,0.456674483563915,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,18,94.14955395924949,508.53481203386997,25.377482497290714,68.77207146195876,43.86274509803921,0.5613725490196079,0.419196947305767,0.580201151367446,0.5808030526942329,0.7100269494311626,0.9096520797566694,0.45179014075361806,0.45179014075361806,171.72903528822732,171.72903528822732,0.4668956542818269,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
0.5,0.65,19,93.72153062900962,510.00188532706636,25.444683741802358,68.27684688720728,43.549019607843135,0.5645098039215688,0.4181821292744637,0.580201151367446,0.5818178707255364,0.71002721568934,0.9055677805575166,0.4548491606441029,0.4548491606441029,171.91846238649686,171.91846238649686,0.4638541228469098,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,0,91.95921112481324,282.4693943391516,14.225469146251903,77.73374197856134,52.529411764705884,0.4747058823529412,0.5140167278168586,0.6666666666666666,0.48598327218314147,0.6451608096868011,0.9094097176807623,0.34945384654968425,0.34945384654968425,141.35774896646123,141.35774896646123,0.5931378879140576,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,1,88.4754828937426,277.11305069571347,13.634096405266465,74.84138648847613,50.01960784313726,0.4998039215686274,0.5087610798480791,0.6666666666666666,0.491238920151921,0.6627339075468938,0.9084168001525201,0.37006715482687647,0.37006715482687647,140.45694632875683,140.45694632875683,0.5819413974574233,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,2,91.43405988860734,283.9992099339038,14.160620040007064,77.27343984860028,51.96078431372549,0.48039215686274517,0.5109582968938692,0.6666666666666666,0.4890417031061308,0.6501689177436374,0.9103478071179137,0.35436920893047896,0.35436920893047896,141.60876282390217,141.60876282390217,0.5869419365669457,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,3,91.63699483229513,281.9098175431126,14.212829004812203,77.42416582748295,52.31372549019608,0.4768627450980393,0.513614726721108,0.6666666666666666,0.4863852732788921,0.6447145101831977,0.904269752847838,0.35128719509450834,0.35128719509450834,141.26216625465554,141.26216625465554,0.5933733601864286,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,4,92.08131087101006,283.27392779866307,14.292997420184525,77.78831345082554,52.588235294117645,0.4741176470588236,0.5138220224469312,0.6666666666666666,0.48617797755306874,0.6439341132463384,0.9070504699027178,0.34924700094690453,0.34924700094690453,141.48861547742143,141.48861547742143,0.5926249015591364,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,5,88.62451712928974,271.99270533472844,13.537871358927548,75.08664577036215,50.627450980392155,0.49372549019607836,0.514058962403953,0.6666666666666666,0.48594103759604695,0.6568821595768262,0.9076602444513259,0.36510200206342397,0.36510200206342397,139.58846684659207,139.58846684659207,0.5939320581419006,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,6,89.96695462857615,279.34159401117654,13.88015862504512,76.08679600353103,51.11764705882353,0.48882352941176466,0.5113049207621724,0.6666666666666666,0.48869507923782757,0.6547771116104383,0.9077774815173497,0.36119198346662007,0.36119198346662007,140.83431587423317,140.83431587423317,0.5865854497231314,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,7,91.34830572450733,284.6514645663497,14.198694165789805,77.14961155871754,51.78431372549019,0.48215686274509795,0.5101472340346956,0.6666666666666666,0.48985276596530436,0.6516757916011676,0.9099191255547879,0.35544277728822593,0.35544277728822593,141.72133536260515,141.72133536260515,0.5846550350406293,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,8,91.2177463632284,283.48375006682744,14.13228338842946,77.08546297479893,51.80392156862745,0.48196078431372547,0.5107984334559554,0.6666666666666666,0.48920156654404456,0.6503365883834085,0.9074287448952993,0.3554963368054862,0.3554963368054862,141.5243084562009,141.5243084562009,0.5859543274195005,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,9,92.44573087608863,285.5263314814834,14.379774045924037,78.06595683016458,52.64705882352941,0.4735294117647058,0.5124912024518891,0.6666666666666666,0.48750879754811094,0.6439668555356419,0.9062924713021873,0.348369398261135,0.348369398261135,141.86631240437828,141.86631240437828,0.5902580954829907,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,10,89.2576348981399,275.19756519156414,13.657216776563043,75.60041812157684,50.88235294117647,0.4911764705882353,0.5127886242133851,0.6666666666666666,0.4872113757866149,0.6561610580434482,0.9087557423247765,0.3630268944341383,0.3630268944341383,140.13186741852917,140.13186741852917,0.5908578119394422,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
1.0,0.4,11,89.80531384296822,273.7921383083631,13.747399482321558,76.05791436064666,51.470588235294116,0.4852941176470588,0.5157098833187006,0.6666666666666666,0.48429011668129934,0.6499798593840035,0.9054544925036784,0.3580725994236613,0.3580725994236613,139.8958150466771,139.8958150466771,0.5980759803524411,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,b05_c0=1.0
