sigma,rho,Y,K,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Y_seed_min,Y_seed_max,n_seeds,frac_seeds_collapsed,collapsed,mixed_basin,Y_band_rel,binding,c0
0.5,0.45,87.88070271481361,344.968369050314,17.205379087056713,70.67532362775688,45.08235294117647,0.5491764705882354,0.4615878208200165,0.580201151367446,0.5384121791799835,0.7024763239857994,0.9087454925198826,0.4014822140655462,0.3573176592481014,146.80926386846983,136.76858237272612,0.6428219348139749,0.0,0.9,1.0,0.0,0.0,0.0,83.94367031717661,91.32524841814327,20,0.0,False,False,0.083995437825765,demand,1.0
0.5,0.5,88.72288774663387,382.5477745605153,19.128074143503394,69.59481360313048,44.03235294117647,0.5596764705882353,0.44662425023072305,0.580201151367446,0.5533757497692771,0.7099319178983763,0.9082222796912589,0.4224657164850386,0.41319631506526777,153.61006782078806,151.2279931962852,0.5853158124410178,0.0,0.9,1.0,0.0,0.0,0.0,85.83506131068951,92.24878778061296,20,0.0,False,False,0.07228942421530662,demand,1.0
0.5,0.55,90.63664360789303,427.39577638260505,21.322596671024154,69.31404693686888,43.75,0.5625000000000001,0.4343958813387041,0.580201151367446,0.5656041186612959,0.7119425822171717,0.9080956740821862,0.43635319413534984,0.43635319413534984,160.7802583402276,160.7802583402276,0.5350288776301607,0.0,0.9,1.0,0.0,0.0,0.0,85.3354359253957,94.42741546822052,20,0.0,False,False,0.10031240325003658,demand,1.0
0.5,0.6,93.57021701563465,475.9364169069484,23.817015980240164,69.75320103539448,44.23725490196078,0.5576274509803922,0.4254772145956448,0.580201151367446,0.5745227854043552,0.7082728103362734,0.9082075347359926,0.44173273545608166,0.44173273545608166,167.579740680119,167.579740680119,0.4962013401438098,0.0,0.9,1.0,0.0,0.0,0.0,88.58316580354109,97.49030800251968,20,0.0,False,False,0.09519206520051456,demand,1.0
0.5,0.65,95.96169218655655,523.5172555542615,26.157095638303975,69.80459654825258,44.55882352941176,0.5544117647058824,0.41789787942966283,0.580201151367446,0.5821021205703373,0.7049042251302404,0.9076488003956538,0.44692218046025,0.44692218046025,173.48378762911096,173.48378762911096,0.46249540179411686,0.0,0.9,1.0,0.0,0.0,0.0,92.39980385311468,99.48581982802436,20,0.0,False,False,0.07384213234937491,demand,1.0
0.6,0.35,93.10630065604583,279.69105741418065,14.003772382763959,79.10252827328188,53.8343137254902,0.461656862745098,0.5202206074783743,0.596546932993319,0.4797793925216257,0.6348352667284887,0.9081369652064122,0.31321163890114895,0.20570969377216572,135.56391912936994,117.23113251756058,0.7944380978946229,0.0,0.9,1.0,0.0,0.0,0.0,91.26640219151471,95.16748666205591,20,0.0,False,False,0.04189925325196429,demand,1.0
0.6,0.4,88.9500650348458,305.7630072413439,15.31994769751202,73.63011733733379,48.122549019607845,0.5187745098039216,0.4867656041732129,0.596546932993319,0.5132343958267871,0.679331732330059,0.9083055841188594,0.36893961453735363,0.3058238405506273,140.94197245736137,128.15619943511646,0.6943554679895438,0.0,0.9,1.0,0.0,0.0,0.0,86.2322540908419,91.87306724068522,20,0.0,False,False,0.06341550337971699,demand,1.0
0.6,0.45,88.1192775690117,340.17693711093904,17.042583039005283,71.07669453000642,45.31666666666667,0.5468333333333334,0.4627025947501952,0.596546932993319,0.5372974052498047,0.7012179951390665,0.9088088072041666,0.40225275809739836,0.3817160640468993,147.40683411650406,142.57535306937947,0.618421697809629,0.0,0.9,1.0,0.0,0.0,0.0,84.18267635434731,90.68722632619692,20,0.0,False,False,0.0738152893588522,demand,1.0
0.6,0.5,88.06396150450055,376.3995875879836,18.79630969570575,69.26765180879481,43.5,0.5650000000000001,0.4444080283315667,0.596546932993319,0.5555919716684334,0.7143986501000639,0.9083480451029404,0.42655815253669627,0.42537457897957437,153.5482289288471,153.24689365211083,0.5585352071991718,0.0,0.9,1.0,0.0,0.0,0.0,81.93833900968188,92.2463072357242,20,0.0,False,False,0.11705092582640092,demand,1.0
0.6,0.55,88.97048443914512,414.68193951272053,20.68972355484367,68.28076088430146,42.57058823529412,0.5742941176470588,0.43055254600290455,0.596546932993319,0.5694474539970955,0.7211499833153943,0.9084826696417982,0.44208433729165586,0.44208433729165586,159.4404929831768,159.4404929831768,0.5118775823719587,0.0,0.9,1.0,0.0,0.0,0.0,83.95519105198262,92.43283507956792,20,0.0,False,False,0.0952860275070652,demand,1.0
